usuario,hotel_historico,num_propiedades,propiedades
276,1442,17,"[('(29.9959, -90.2552)', 'has_coordinates'), ('1789 reviews', 'has_review_count'), ('3.0 stars', 'has_rating'), ('70062', 'has_postal_code'), ('Airports', 'has_category'), ('ByAppointmentOnly=False', 'has_attribute'), ('GoodForMeal={dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}', 'has_attribute'), ('Kenner', 'located_in_city'), ('LA', 'in_state'), ('Louis Armstrong New Orleans International Airport  MSY', 'has_name'), ('OutdoorSeating=False', 'has_attribute'), ('RestaurantsDelivery=False', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('RestaurantsTakeOut=True', 'has_attribute'), ('Transportation', 'has_category'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
276,4326,18,"[('(32.3147, -110.9161)', 'has_coordinates'), ('3.0 stars', 'has_rating'), ('435 reviews', 'has_review_count'), ('85718', 'has_postal_code'), ('AZ', 'in_state'), ('BusinessAcceptsBitcoin=False', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Caterers', 'has_category'), ('DogsAllowed=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('Resorts', 'has_category'), ('RestaurantsPriceRange2=3', 'has_attribute'), ('The Westin La Paloma Resort & Spa', 'has_name'), ('Tucson', 'located_in_city'), ('Venues & Event Spaces', 'has_category'), ('WheelchairAccessible=True', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
276,3143,24,"[('(38.6350, -90.2913)', 'has_coordinates'), ('4.5 stars', 'has_rating'), ('63110', 'has_postal_code'), ('866 reviews', 'has_review_count'), ('Active Life', 'has_category'), ('Arts & Entertainment', 'has_category'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('BusinessParking={garage: False, street: True, validated: False, lot: True, valet: False}', 'has_attribute'), ('ByAppointmentOnly=False', 'has_attribute'), ('DogsAllowed=False', 'has_attribute'), ('Education', 'has_category'), ('Event Planning & Services', 'has_category'), ('GoodForKids=True', 'has_attribute'), ('MO', 'in_state'), ('Party & Event Planning', 'has_category'), ('Preschools', 'has_category'), ('Saint Louis Zoo', 'has_name'), ('St Louis', 'located_in_city'), ('Tours', 'has_category'), ('Venues & Event Spaces', 'has_category'), ('WiFi=free', 'has_attribute'), ('Zoos', 'has_category'), ('open', 'status')]"
276,104,33,"[('(29.9590, -90.0602)', 'has_coordinates'), ('3.5 stars', 'has_rating'), ('692 reviews', 'has_review_count'), ('70116', 'has_postal_code'), ('Art Supplies', 'has_category'), ('Arts & Crafts', 'has_category'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('BusinessParking={garage: False, street: True, validated: False, lot: True, valet: False}', 'has_attribute'), ('ByAppointmentOnly=False', 'has_attribute'), ('Caters=False', 'has_attribute'), ('DogsAllowed=True', 'has_attribute'), ('Farmers Market', 'has_category'), ('Fashion', 'has_category'), ('Flea Markets', 'has_category'), ('Flowers & Gifts', 'has_category'), ('Food', 'has_category'), ('French Market', 'has_name'), ('Fruits & Veggies', 'has_category'), ('Gift Shops', 'has_category'), ('GoodForKids=True', 'has_attribute'), ('LA', 'in_state'), ('New Orleans', 'located_in_city'), ('Public Markets', 'has_category'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('RestaurantsTakeOut=True', 'has_attribute'), ('Shopping', 'has_category'), ('Shopping Centers', 'has_category'), ('Specialty Food', 'has_category'), ('Tours', 'has_category'), ('Used', 'has_category'), ('Vintage & Consignment', 'has_category'), ('open', 'status')]"
276,1356,15,"[('(38.5739, -90.4058)', 'has_coordinates'), ('188 reviews', 'has_review_count'), ('4.5 stars', 'has_rating'), ('63122', 'has_postal_code'), ('Arts & Entertainment', 'has_category'), ('ByAppointmentOnly=False', 'has_attribute'), (""Children's Museums"", 'has_category'), ('DogsAllowed=False', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('MO', 'in_state'), ('Museums', 'has_category'), ('St. Louis', 'located_in_city'), (""The Magic House, St. Louis Children's Museum"", 'has_name'), ('Tours', 'has_category'), ('open', 'status')]"
276,3438,16,"[('(38.7023, -90.4474)', 'has_coordinates'), ('3.0 stars', 'has_rating'), ('63146', 'has_postal_code'), ('85 reviews', 'has_review_count'), ('BusinessAcceptsBitcoin=False', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Caterers', 'has_category'), ('DogsAllowed=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('MO', 'in_state'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('Saint Louis', 'located_in_city'), ('Sheraton Westport Chalet Hotel St. Louis', 'has_name'), ('Venues & Event Spaces', 'has_category'), ('WiFi=paid', 'has_attribute'), ('open', 'status')]"
276,558,12,"[('(38.6242, -90.2023)', 'has_coordinates'), ('192 reviews', 'has_review_count'), ('2.5 stars', 'has_rating'), ('63103', 'has_postal_code'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('MO', 'in_state'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('Saint Louis', 'located_in_city'), ('St. Louis City Center Hotel', 'has_name'), ('WiFi=paid', 'has_attribute'), ('closed', 'status')]"
276,5360,33,"[('(38.6384, -90.2318)', 'has_coordinates'), ('237 reviews', 'has_review_count'), ('4.5 stars', 'has_rating'), ('63103', 'has_postal_code'), ('Alcohol=full_bar', 'has_attribute'), ('Ambience={romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: True, trendy: False, upscale: False, casual: False}', 'has_attribute'), ('Arts & Entertainment', 'has_category'), ('BestNights={monday: False, tuesday: False, friday: True, wednesday: False, thursday: False, sunday: True, saturday: True}', 'has_attribute'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('BusinessParking={garage: True, street: True, validated: False, lot: True, valet: False}', 'has_attribute'), ('DogsAllowed=False', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('GoodForDancing=False', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('HappyHour=False', 'has_attribute'), ('HasTV=True', 'has_attribute'), ('MO', 'in_state'), ('Music Venues', 'has_category'), ('Music={dj: False, background_music: False, no_music: False, jukebox: False, live: True, video: False, karaoke: False}', 'has_attribute'), ('Nightlife', 'has_category'), ('NoiseLevel=average', 'has_attribute'), ('OutdoorSeating=False', 'has_attribute'), ('Performing Arts', 'has_category'), ('RestaurantsGoodForGroups=True', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('Saint Louis', 'located_in_city'), ('Smoking=no', 'has_attribute'), ('The Fox Theatre', 'has_name'), ('Tours', 'has_category'), ('Venues & Event Spaces', 'has_category'), ('WiFi=no', 'has_attribute'), ('open', 'status')]"
276,592,12,"[('(38.6174, -90.2849)', 'has_coordinates'), ('2.0 stars', 'has_rating'), ('58 reviews', 'has_review_count'), ('63110', 'has_postal_code'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('MO', 'in_state'), ('Red Roof PLUS+ St Louis - Forest Park/Hampton Avenue', 'has_name'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('St Louis', 'located_in_city'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
276,4656,29,"[('(38.6470, -90.3364)', 'has_coordinates'), ('121 reviews', 'has_review_count'), ('2.5 stars', 'has_rating'), ('63105', 'has_postal_code'), ('Alcohol=full_bar', 'has_attribute'), ('Ambience={romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: False}', 'has_attribute'), ('BikeParking=False', 'has_attribute'), ('BusinessAcceptsBitcoin=False', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False}', 'has_attribute'), ('Caters=True', 'has_attribute'), ('DogsAllowed=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('GoodForKids=True', 'has_attribute'), ('HasTV=True', 'has_attribute'), ('MO', 'in_state'), ('NoiseLevel=loud', 'has_attribute'), ('OutdoorSeating=False', 'has_attribute'), ('Restaurants', 'has_category'), ('RestaurantsAttire=casual', 'has_attribute'), ('RestaurantsDelivery=False', 'has_attribute'), ('RestaurantsGoodForGroups=True', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('RestaurantsReservations=True', 'has_attribute'), ('RestaurantsTakeOut=True', 'has_attribute'), ('Saint Louis', 'located_in_city'), ('Sheraton Clayton Plaza Hotel St. Louis', 'has_name'), ('WiFi=paid', 'has_attribute'), ('closed', 'status')]"
