usuario,hotel_recomendado,hotel_historico,num_propiedades_compartidas,propiedades_compartidas
35,104,4326,3,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('DogsAllowed=True', 'has_attribute'), ('open', 'status')]"
35,104,5767,3,"[('LA', 'in_state'), ('New Orleans', 'located_in_city'), ('open', 'status')]"
35,104,2344,5,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Food', 'has_category'), ('GoodForKids=True', 'has_attribute'), ('RestaurantsTakeOut=True', 'has_attribute'), ('open', 'status')]"
35,104,2989,4,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('DogsAllowed=True', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('open', 'status')]"
35,1093,4326,4,"[('AZ', 'in_state'), ('Tucson', 'located_in_city'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
35,1093,5767,1,"[('open', 'status')]"
35,1093,2344,1,"[('open', 'status')]"
35,1093,2989,6,"[('4.0 stars', 'has_rating'), ('AZ', 'in_state'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('Tucson', 'located_in_city'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
35,1152,4326,8,"[('BusinessAcceptsBitcoin=False', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('Resorts', 'has_category'), ('RestaurantsPriceRange2=3', 'has_attribute'), ('Venues & Event Spaces', 'has_category'), ('WheelchairAccessible=True', 'has_attribute'), ('open', 'status')]"
35,1152,5767,1,"[('open', 'status')]"
