user,hotel_recomendado,hotel_ejemplo_id,numero_propiedades,lista_propiedades
3,104,457,1,category:Tours
3,104,2513,1,category:Tours
3,104,1941,2,attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsPriceRange2=2
3,104,1783,3,attribute:BusinessAcceptsCreditCards=True | attribute:ByAppointmentOnly=False | attribute:GoodForKids=True
3,1054,457,2,city:Philadelphia | state:PA
3,1054,2513,3,city:Philadelphia | state:PA | rating:4.0 stars
3,1054,1941,4,state:PA | category:Event Planning & Services | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,1054,1783,4,city:Philadelphia | state:PA | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,1093,457,0,Ninguna
3,1093,2513,1,rating:4.0 stars
3,1093,1941,2,attribute:WiFi=free | attribute:RestaurantsPriceRange2=2
3,1093,1783,2,attribute:WiFi=free | attribute:ByAppointmentOnly=False
3,1164,457,1,category:Tours
3,1164,2513,2,rating:4.0 stars | category:Tours
3,1164,1941,2,category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True
3,1164,1783,5,category:Arts & Entertainment | category:Museums | category:Local Flavor | attribute:BusinessAcceptsCreditCards=True | attribute:GoodForKids=True
3,1442,457,0,Ninguna
3,1442,2513,0,Ninguna
3,1442,1941,3,rating:3.0 stars | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2
3,1442,1783,4,attribute:OutdoorSeating=False | attribute:RestaurantsDelivery=False | attribute:ByAppointmentOnly=False | attribute:WiFi=free
3,1487,457,4,city:Philadelphia | state:PA | postal_code:19106 | category:Tours
3,1487,2513,4,city:Philadelphia | state:PA | postal_code:19106 | category:Tours
3,1487,1941,1,state:PA
3,1487,1783,4,city:Philadelphia | state:PA | postal_code:19106 | category:Local Flavor
3,1608,457,2,rating:4.5 stars | category:Tours
3,1608,2513,1,category:Tours
3,1608,1941,1,attribute:WiFi=free
3,1608,1783,3,rating:4.5 stars | category:Arts & Entertainment | attribute:WiFi=free
3,163,457,3,city:Philadelphia | state:PA | postal_code:19106
3,163,2513,4,city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars
3,163,1941,4,state:PA | category:Event Planning & Services | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,163,1783,7,city:Philadelphia | state:PA | postal_code:19106 | category:Restaurants | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True
3,1693,457,1,state:PA
3,1693,2513,2,state:PA | rating:4.0 stars
3,1693,1941,3,state:PA | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True
3,1693,1783,8,state:PA | category:Restaurants | category:Breakfast & Brunch | attribute:OutdoorSeating=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:GoodForKids=True
3,1729,457,2,rating:4.5 stars | category:Tours
3,1729,2513,2,category:Historical Tours | category:Tours
3,1729,1941,1,attribute:BusinessAcceptsCreditCards=True
3,1729,1783,6,rating:4.5 stars | category:Arts & Entertainment | category:Museums | attribute:BusinessAcceptsCreditCards=True | attribute:ByAppointmentOnly=False | attribute:GoodForKids=True
3,2085,457,2,rating:4.5 stars | category:Tours
3,2085,2513,1,category:Tours
3,2085,1941,2,attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,2085,1783,9,rating:4.5 stars | category:Arts & Entertainment | category:Museums | attribute:ByAppointmentOnly=False | attribute:RestaurantsDelivery=False | attribute:RestaurantsTakeOut=False | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:GoodForKids=True
3,2101,457,2,rating:4.5 stars | category:Tours
3,2101,2513,2,category:Historical Tours | category:Tours
3,2101,1941,1,attribute:WiFi=free
3,2101,1783,7,rating:4.5 stars | category:Arts & Entertainment | category:Museums | category:Local Flavor | attribute:WiFi=free | attribute:ByAppointmentOnly=False | attribute:GoodForKids=True
3,2109,457,0,Ninguna
3,2109,2513,0,Ninguna
3,2109,1941,3,category:Event Planning & Services | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,2109,1783,2,attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,2290,457,0,Ninguna
3,2290,2513,0,Ninguna
3,2290,1941,1,rating:3.0 stars
3,2290,1783,0,Ninguna
3,2344,457,0,Ninguna
3,2344,2513,0,Ninguna
3,2344,1941,3,rating:3.0 stars | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True
3,2344,1783,6,category:Restaurants | category:Arts & Entertainment | category:Museums | attribute:BusinessAcceptsCreditCards=True | attribute:GoodForKids=True | attribute:RestaurantsReservations=True
3,25,457,4,rating:4.5 stars | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours
3,25,2513,3,category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours
3,25,1941,0,Ninguna
3,25,1783,4,rating:4.5 stars | category:Public Services & Government | category:Landmarks & Historical Buildings | attribute:ByAppointmentOnly=False
3,2557,457,0,Ninguna
3,2557,2513,1,rating:4.0 stars
3,2557,1941,1,attribute:WiFi=free
3,2557,1783,2,attribute:WiFi=free | attribute:ByAppointmentOnly=False
3,2617,457,0,Ninguna
3,2617,2513,1,rating:4.0 stars
3,2617,1941,4,category:Event Planning & Services | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsPriceRange2=2
3,2617,1783,2,attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,2963,457,5,city:Philadelphia | state:PA | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours
3,2963,2513,6,city:Philadelphia | state:PA | rating:4.0 stars | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours
3,2963,1941,4,state:PA | category:Event Planning & Services | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,2963,1783,10,city:Philadelphia | state:PA | category:Arts & Entertainment | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Local Flavor | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True | attribute:ByAppointmentOnly=False | attribute:GoodForKids=True
3,2972,457,3,category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours
3,2972,2513,4,rating:4.0 stars | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours
3,2972,1941,0,Ninguna
3,2972,1783,5,category:Restaurants | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Local Flavor | attribute:GoodForKids=True
3,3069,457,0,Ninguna
3,3069,2513,0,Ninguna
3,3069,1941,0,Ninguna
3,3069,1783,0,Ninguna
3,3119,457,0,Ninguna
3,3119,2513,1,rating:4.0 stars
3,3119,1941,3,category:Event Planning & Services | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,3119,1783,2,attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,3136,457,0,Ninguna
3,3136,2513,1,rating:4.0 stars
3,3136,1941,0,Ninguna
