usuario,hotel_recomendado,hotel_consumido,propiedad,path_length,path_count,path_type_variety,shared_property_weight_score,path_confidence_score,weighted_kps,path_type_frequency
3,104,457,has_category:Tours,2,2,2,2.3,2.3,2.3,2
3,104,457,status:open,2,2,2,2.3,2.3,2.3,4
3,104,2513,status:open,2,2,2,2.3,2.3,2.3,4
3,104,2513,has_category:Tours,2,2,2,2.3,2.3,2.3,2
3,104,1941,status:open,2,3,2,2.3,1.3,2.3,4
3,104,1941,has_attribute:BusinessAcceptsCreditCards=True,2,3,2,2.3,1.3,2.3,2
3,104,1941,has_attribute:RestaurantsPriceRange2=2,2,3,2,2.3,1.3,2.3,2
3,104,1783,has_attribute:GoodForKids=True,2,4,2,3.3,1.3,3.3,2
3,104,1783,has_attribute:ByAppointmentOnly=False,2,4,2,3.3,1.3,3.3,2
3,104,1783,has_attribute:BusinessAcceptsCreditCards=True,2,4,2,3.3,1.3,3.3,2
3,104,1783,status:open,2,4,2,3.3,1.3,3.3,4
3,1054,457,located_in_city:Philadelphia,2,3,3,5.8,5.8,5.8,3
3,1054,457,in_state:PA,2,3,3,5.8,5.8,5.8,4
3,1054,457,status:open,2,3,3,5.8,5.8,5.8,4
3,1054,2513,located_in_city:Philadelphia,2,4,4,7.3,7.3,7.3,3
3,1054,2513,in_state:PA,2,4,4,7.3,7.3,7.3,4
3,1054,2513,has_rating:4.0 stars,2,4,4,7.3,7.3,7.3,1
3,1054,2513,status:open,2,4,4,7.3,7.3,7.3,4
3,1054,1941,status:open,2,5,4,6.8,5.8,6.8,4
3,1054,1941,has_attribute:WiFi=free,2,5,4,6.8,5.8,6.8,2
3,1054,1941,has_attribute:BusinessAcceptsCreditCards=True,2,5,4,6.8,5.8,6.8,2
3,1054,1941,has_category:Event Planning & Services,2,5,4,6.8,5.8,6.8,1
3,1054,1941,in_state:PA,2,5,4,6.8,5.8,6.8,4
3,1054,1783,has_attribute:WiFi=free,2,5,4,7.8,6.8,7.8,2
3,1054,1783,has_attribute:BusinessAcceptsCreditCards=True,2,5,4,7.8,6.8,7.8,2
3,1054,1783,in_state:PA,2,5,4,7.8,6.8,7.8,4
3,1054,1783,status:open,2,5,4,7.8,6.8,7.8,4
3,1054,1783,located_in_city:Philadelphia,2,5,4,7.8,6.8,7.8,3
3,1093,457,status:open,2,1,1,0.3,0.3,0.3,4
3,1093,2513,has_rating:4.0 stars,2,2,2,1.8,1.8,1.8,1
3,1093,2513,status:open,2,2,2,1.8,1.8,1.8,4
3,1093,1941,status:open,2,3,2,2.3,1.3,2.3,4
3,1093,1941,has_attribute:WiFi=free,2,3,2,2.3,1.3,2.3,2
3,1093,1941,has_attribute:RestaurantsPriceRange2=2,2,3,2,2.3,1.3,2.3,2
3,1093,1783,has_attribute:ByAppointmentOnly=False,2,3,2,2.3,1.3,2.3,2
3,1093,1783,has_attribute:WiFi=free,2,3,2,2.3,1.3,2.3,2
3,1093,1783,status:open,2,3,2,2.3,1.3,2.3,4
3,1164,457,has_category:Tours,2,2,2,2.3,2.3,2.3,4
3,1164,457,status:open,2,2,2,2.3,2.3,2.3,4
3,1164,2513,has_rating:4.0 stars,2,3,3,3.8,3.8,3.8,1
3,1164,2513,status:open,2,3,3,3.8,3.8,3.8,4
3,1164,2513,has_category:Tours,2,3,3,3.8,3.8,3.8,4
3,1164,1941,status:open,2,3,3,3.3,3.3,3.3,4
3,1164,1941,has_attribute:BusinessAcceptsCreditCards=True,2,3,3,3.3,3.3,3.3,2
3,1164,1941,has_category:Event Planning & Services,2,3,3,3.3,3.3,3.3,4
3,1164,1783,has_category:Museums,2,6,3,8.3,3.3,8.3,4
3,1164,1783,has_category:Local Flavor,2,6,3,8.3,3.3,8.3,4
3,1164,1783,has_category:Arts & Entertainment,2,6,3,8.3,3.3,8.3,4
3,1164,1783,has_attribute:GoodForKids=True,2,6,3,8.3,3.3,8.3,2
3,1164,1783,has_attribute:BusinessAcceptsCreditCards=True,2,6,3,8.3,3.3,8.3,2
3,1164,1783,status:open,2,6,3,8.3,3.3,8.3,4
3,1442,457,status:open,2,1,1,0.3,0.3,0.3,4
3,1442,2513,status:open,2,1,1,0.3,0.3,0.3,4
3,1442,1941,status:open,2,4,3,3.8,2.8,3.8,4
3,1442,1941,has_attribute:WiFi=free,2,4,3,3.8,2.8,3.8,2
3,1442,1941,has_attribute:RestaurantsPriceRange2=2,2,4,3,3.8,2.8,3.8,2
3,1442,1941,has_rating:3.0 stars,2,4,3,3.8,2.8,3.8,1
3,1442,1783,has_attribute:ByAppointmentOnly=False,2,5,2,4.3,1.3,4.3,2
3,1442,1783,has_attribute:RestaurantsDelivery=False,2,5,2,4.3,1.3,4.3,2
3,1442,1783,has_attribute:WiFi=free,2,5,2,4.3,1.3,4.3,2
3,1442,1783,has_attribute:OutdoorSeating=False,2,5,2,4.3,1.3,4.3,2
3,1442,1783,status:open,2,5,2,4.3,1.3,4.3,4
3,1487,457,located_in_city:Philadelphia,2,4,4,8.5,8.5,8.5,3
3,1487,457,in_state:PA,2,4,4,8.5,8.5,8.5,4
3,1487,457,has_category:Tours,2,4,4,8.5,8.5,8.5,3
3,1487,457,has_postal_code:19106,2,4,4,8.5,8.5,8.5,3
3,1487,2513,located_in_city:Philadelphia,2,4,4,8.5,8.5,8.5,3
3,1487,2513,in_state:PA,2,4,4,8.5,8.5,8.5,4
3,1487,2513,has_postal_code:19106,2,4,4,8.5,8.5,8.5,3
3,1487,2513,has_category:Tours,2,4,4,8.5,8.5,8.5,3
3,1487,1941,in_state:PA,2,1,1,2.5,2.5,2.5,4
3,1487,1783,has_category:Local Flavor,2,4,4,8.5,8.5,8.5,3
3,1487,1783,in_state:PA,2,4,4,8.5,8.5,8.5,4
3,1487,1783,has_postal_code:19106,2,4,4,8.5,8.5,8.5,3
3,1487,1783,located_in_city:Philadelphia,2,4,4,8.5,8.5,8.5,3
3,1608,457,has_category:Tours,2,3,3,3.8,3.8,3.8,3
3,1608,457,has_rating:4.5 stars,2,3,3,3.8,3.8,3.8,2
3,1608,457,status:open,2,3,3,3.8,3.8,3.8,4
3,1608,2513,status:open,2,2,2,2.3,2.3,2.3,4
3,1608,2513,has_category:Tours,2,2,2,2.3,2.3,2.3,3
3,1608,1941,status:open,2,2,2,1.3,1.3,1.3,4
3,1608,1941,has_attribute:WiFi=free,2,2,2,1.3,1.3,1.3,2
3,1608,1783,has_category:Arts & Entertainment,2,4,4,4.8,4.8,4.8,3
3,1608,1783,has_attribute:WiFi=free,2,4,4,4.8,4.8,4.8,2
3,1608,1783,status:open,2,4,4,4.8,4.8,4.8,4
3,1608,1783,has_rating:4.5 stars,2,4,4,4.8,4.8,4.8,2
3,163,457,located_in_city:Philadelphia,2,4,4,6.8,6.8,6.8,3
3,163,457,in_state:PA,2,4,4,6.8,6.8,6.8,4
3,163,457,has_postal_code:19106,2,4,4,6.8,6.8,6.8,3
3,163,457,status:open,2,4,4,6.8,6.8,6.8,4
3,163,2513,located_in_city:Philadelphia,2,5,5,8.3,8.3,8.3,3
3,163,2513,in_state:PA,2,5,5,8.3,8.3,8.3,4
3,163,2513,has_rating:4.0 stars,2,5,5,8.3,8.3,8.3,1
3,163,2513,has_postal_code:19106,2,5,5,8.3,8.3,8.3,3
3,163,2513,status:open,2,5,5,8.3,8.3,8.3,4
3,163,1941,status:open,2,5,4,6.8,5.8,6.8,4
3,163,1941,has_attribute:WiFi=free,2,5,4,6.8,5.8,6.8,2
3,163,1941,has_attribute:BusinessAcceptsCreditCards=True,2,5,4,6.8,5.8,6.8,2
3,163,1941,has_category:Event Planning & Services,2,5,4,6.8,5.8,6.8,2
3,163,1941,in_state:PA,2,5,4,6.8,5.8,6.8,4
3,163,1783,has_category:Restaurants,2,8,6,11.8,9.8,11.8,2
3,163,1783,has_attribute:RestaurantsReservations=True,2,8,6,11.8,9.8,11.8,2
3,163,1783,has_attribute:WiFi=free,2,8,6,11.8,9.8,11.8,2
3,163,1783,has_attribute:BusinessAcceptsCreditCards=True,2,8,6,11.8,9.8,11.8,2
3,163,1783,in_state:PA,2,8,6,11.8,9.8,11.8,4
3,163,1783,status:open,2,8,6,11.8,9.8,11.8,4
3,163,1783,has_postal_code:19106,2,8,6,11.8,9.8,11.8,3
3,163,1783,located_in_city:Philadelphia,2,8,6,11.8,9.8,11.8,3
3,1693,457,in_state:PA,2,2,2,2.8,2.8,2.8,4
3,1693,457,status:open,2,2,2,2.8,2.8,2.8,4
3,1693,2513,in_state:PA,2,3,3,4.3,4.3,4.3,4
3,1693,2513,has_rating:4.0 stars,2,3,3,4.3,4.3,4.3,1
3,1693,2513,status:open,2,3,3,4.3,4.3,4.3,4
3,1693,1941,status:open,2,4,4,5.8,5.8,5.8,4
3,1693,1941,has_attribute:BusinessAcceptsCreditCards=True,2,4,4,5.8,5.8,5.8,2
3,1693,1941,has_category:Event Planning & Services,2,4,4,5.8,5.8,5.8,2
3,1693,1941,in_state:PA,2,4,4,5.8,5.8,5.8,4
3,1693,1783,has_category:Restaurants,2,9,4,11.8,5.8,11.8,2
3,1693,1783,has_category:Breakfast & Brunch,2,9,4,11.8,5.8,11.8,2
3,1693,1783,has_attribute:RestaurantsDelivery=False,2,9,4,11.8,5.8,11.8,2
3,1693,1783,has_attribute:RestaurantsReservations=True,2,9,4,11.8,5.8,11.8,2
3,1693,1783,has_attribute:GoodForKids=True,2,9,4,11.8,5.8,11.8,2
3,1693,1783,has_attribute:BusinessAcceptsCreditCards=True,2,9,4,11.8,5.8,11.8,2
3,1693,1783,has_attribute:OutdoorSeating=False,2,9,4,11.8,5.8,11.8,2
3,1693,1783,in_state:PA,2,9,4,11.8,5.8,11.8,4
3,1693,1783,status:open,2,9,4,11.8,5.8,11.8,4
3,1729,457,has_category:Tours,2,3,3,3.8,3.8,3.8,3
3,1729,457,has_rating:4.5 stars,2,3,3,3.8,3.8,3.8,2
3,1729,457,status:open,2,3,3,3.8,3.8,3.8,4
3,1729,2513,status:open,2,3,2,4.3,2.3,4.3,4
3,1729,2513,has_category:Tours,2,3,2,4.3,2.3,4.3,3
3,1729,2513,has_category:Historical Tours,2,3,2,4.3,2.3,4.3,3
3,1729,1941,status:open,2,2,2,1.3,1.3,1.3,4
3,1729,1941,has_attribute:BusinessAcceptsCreditCards=True,2,2,2,1.3,1.3,1.3,2
3,1729,1783,has_category:Museums,2,7,4,8.8,4.8,8.8,3
3,1729,1783,has_category:Arts & Entertainment,2,7,4,8.8,4.8,8.8,3
3,1729,1783,has_attribute:GoodForKids=True,2,7,4,8.8,4.8,8.8,2
3,1729,1783,has_attribute:ByAppointmentOnly=False,2,7,4,8.8,4.8,8.8,2
3,1729,1783,has_attribute:BusinessAcceptsCreditCards=True,2,7,4,8.8,4.8,8.8,2
3,1729,1783,status:open,2,7,4,8.8,4.8,8.8,4
3,1729,1783,has_rating:4.5 stars,2,7,4,8.8,4.8,8.8,2
3,2085,457,has_category:Tours,2,3,3,3.8,3.8,3.8,3
3,2085,457,has_rating:4.5 stars,2,3,3,3.8,3.8,3.8,2
3,2085,457,status:open,2,3,3,3.8,3.8,3.8,4
3,2085,2513,status:open,2,2,2,2.3,2.3,2.3,4
3,2085,2513,has_category:Tours,2,2,2,2.3,2.3,2.3,3
3,2085,1941,status:open,2,3,2,2.3,1.3,2.3,4
3,2085,1941,has_attribute:WiFi=free,2,3,2,2.3,1.3,2.3,2
3,2085,1941,has_attribute:BusinessAcceptsCreditCards=True,2,3,2,2.3,1.3,2.3,2
3,2085,1783,has_category:Museums,2,10,4,11.8,4.8,11.8,3
3,2085,1783,has_category:Arts & Entertainment,2,10,4,11.8,4.8,11.8,3
3,2085,1783,has_attribute:RestaurantsDelivery=False,2,10,4,11.8,4.8,11.8,2
3,2085,1783,has_attribute:WiFi=free,2,10,4,11.8,4.8,11.8,2
3,2085,1783,has_attribute:GoodForKids=True,2,10,4,11.8,4.8,11.8,2
3,2085,1783,has_attribute:RestaurantsTakeOut=False,2,10,4,11.8,4.8,11.8,2
3,2085,1783,has_attribute:BusinessAcceptsCreditCards=True,2,10,4,11.8,4.8,11.8,2
3,2085,1783,has_attribute:ByAppointmentOnly=False,2,10,4,11.8,4.8,11.8,2
3,2085,1783,status:open,2,10,4,11.8,4.8,11.8,4
3,2085,1783,has_rating:4.5 stars,2,10,4,11.8,4.8,11.8,2
3,2101,457,has_category:Tours,2,3,3,3.8,3.8,3.8,3
3,2101,457,has_rating:4.5 stars,2,3,3,3.8,3.8,3.8,2
3,2101,457,status:open,2,3,3,3.8,3.8,3.8,4
3,2101,2513,status:open,2,3,2,4.3,2.3,4.3,4
3,2101,2513,has_category:Tours,2,3,2,4.3,2.3,4.3,3
3,2101,2513,has_category:Historical Tours,2,3,2,4.3,2.3,4.3,3
3,2101,1941,status:open,2,2,2,1.3,1.3,1.3,4
3,2101,1941,has_attribute:WiFi=free,2,2,2,1.3,1.3,1.3,2
3,2101,1783,has_category:Museums,2,8,4,10.8,4.8,10.8,3
3,2101,1783,has_category:Local Flavor,2,8,4,10.8,4.8,10.8,3
3,2101,1783,has_category:Arts & Entertainment,2,8,4,10.8,4.8,10.8,3
3,2101,1783,has_attribute:ByAppointmentOnly=False,2,8,4,10.8,4.8,10.8,2
3,2101,1783,has_attribute:GoodForKids=True,2,8,4,10.8,4.8,10.8,2
3,2101,1783,has_attribute:WiFi=free,2,8,4,10.8,4.8,10.8,2
3,2101,1783,status:open,2,8,4,10.8,4.8,10.8,4
3,2101,1783,has_rating:4.5 stars,2,8,4,10.8,4.8,10.8,2
3,2109,457,status:open,2,1,1,0.3,0.3,0.3,4
3,2109,2513,status:open,2,1,1,0.3,0.3,0.3,4
3,2109,1941,status:open,2,4,3,4.3,3.3,4.3,4
3,2109,1941,has_attribute:WiFi=free,2,4,3,4.3,3.3,4.3,2
3,2109,1941,has_attribute:BusinessAcceptsCreditCards=True,2,4,3,4.3,3.3,4.3,2
3,2109,1941,has_category:Event Planning & Services,2,4,3,4.3,3.3,4.3,1
3,2109,1783,has_attribute:WiFi=free,2,3,2,2.3,1.3,2.3,2
3,2109,1783,has_attribute:BusinessAcceptsCreditCards=True,2,3,2,2.3,1.3,2.3,2
3,2109,1783,status:open,2,3,2,2.3,1.3,2.3,4
3,2290,457,status:open,2,1,1,0.3,0.3,0.3,4
3,2290,2513,status:open,2,1,1,0.3,0.3,0.3,4
3,2290,1941,status:open,2,2,2,1.8,1.8,1.8,4
3,2290,1941,has_rating:3.0 stars,2,2,2,1.8,1.8,1.8,1
3,2290,1783,status:open,2,1,1,0.3,0.3,0.3,4
3,2344,457,status:open,2,1,1,0.3,0.3,0.3,4
3,2344,2513,status:open,2,1,1,0.3,0.3,0.3,4
3,2344,1941,status:open,2,4,4,4.8,4.8,4.8,4
3,2344,1941,has_attribute:BusinessAcceptsCreditCards=True,2,4,4,4.8,4.8,4.8,2
3,2344,1941,has_category:Event Planning & Services,2,4,4,4.8,4.8,4.8,2
3,2344,1941,has_rating:3.0 stars,2,4,4,4.8,4.8,4.8,1
3,2344,1783,has_category:Restaurants,2,7,3,9.3,3.3,9.3,2
3,2344,1783,has_category:Museums,2,7,3,9.3,3.3,9.3,2
3,2344,1783,has_category:Arts & Entertainment,2,7,3,9.3,3.3,9.3,2
3,2344,1783,has_attribute:GoodForKids=True,2,7,3,9.3,3.3,9.3,2
3,2344,1783,has_attribute:RestaurantsReservations=True,2,7,3,9.3,3.3,9.3,2
3,2344,1783,has_attribute:BusinessAcceptsCreditCards=True,2,7,3,9.3,3.3,9.3,2
3,2344,1783,status:open,2,7,3,9.3,3.3,9.3,4
3,25,457,has_category:Tours,2,5,3,7.8,3.8,7.8,3
3,25,457,has_category:Landmarks & Historical Buildings,2,5,3,7.8,3.8,7.8,3
3,25,457,has_category:Public Services & Government,2,5,3,7.8,3.8,7.8,3
3,25,457,has_rating:4.5 stars,2,5,3,7.8,3.8,7.8,2
3,25,457,status:open,2,5,3,7.8,3.8,7.8,4
3,25,2513,status:open,2,4,2,6.3,2.3,6.3,4
3,25,2513,has_category:Public Services & Government,2,4,2,6.3,2.3,6.3,3
3,25,2513,has_category:Tours,2,4,2,6.3,2.3,6.3,3
3,25,2513,has_category:Landmarks & Historical Buildings,2,4,2,6.3,2.3,6.3,3
3,25,1941,status:open,2,1,1,0.3,0.3,0.3,4
3,25,1783,has_category:Public Services & Government,2,5,4,6.8,4.8,6.8,3
3,25,1783,has_category:Landmarks & Historical Buildings,2,5,4,6.8,4.8,6.8,3
3,25,1783,has_attribute:ByAppointmentOnly=False,2,5,4,6.8,4.8,6.8,1
3,25,1783,status:open,2,5,4,6.8,4.8,6.8,4
3,25,1783,has_rating:4.5 stars,2,5,4,6.8,4.8,6.8,2
3,2557,457,status:open,2,1,1,0.3,0.3,0.3,4
3,2557,2513,has_rating:4.0 stars,2,2,2,1.8,1.8,1.8,1
3,2557,2513,status:open,2,2,2,1.8,1.8,1.8,4
3,2557,1941,status:open,2,2,2,1.3,1.3,1.3,4
