usuario,hotel_recomendado,hotel_consumido,propiedad,explanation_type_diversity,attribute_diversity_recommended,cross_explanation_diversity
3,104,457,,2,10,2.0
3,104,2513,,2,10,2.0
3,104,1941,,2,10,2.0
3,104,1783,,2,10,2.0
3,1054,457,,3,10,3.75
3,1054,2513,,4,10,3.75
3,1054,1941,,4,10,3.75
3,1054,1783,,4,10,3.75
3,1093,457,,1,10,1.75
3,1093,2513,,2,10,1.75
3,1093,1941,,2,10,1.75
3,1093,1783,,2,10,1.75
3,1164,457,,2,10,2.75
3,1164,2513,,3,10,2.75
3,1164,1941,,3,10,2.75
3,1164,1783,,3,10,2.75
3,1442,457,,1,10,1.75
3,1442,2513,,1,10,1.75
3,1442,1941,,3,10,1.75
3,1442,1783,,2,10,1.75
3,1487,457,,4,9,3.25
3,1487,2513,,4,9,3.25
3,1487,1941,,1,9,3.25
3,1487,1783,,4,9,3.25
3,1608,457,,3,10,2.75
3,1608,2513,,2,10,2.75
3,1608,1941,,2,10,2.75
3,1608,1783,,4,10,2.75
3,163,457,,4,10,4.75
3,163,2513,,5,10,4.75
3,163,1941,,4,10,4.75
3,163,1783,,6,10,4.75
3,1693,457,,2,10,3.25
3,1693,2513,,3,10,3.25
3,1693,1941,,4,10,3.25
3,1693,1783,,4,10,3.25
3,1729,457,,3,10,2.75
3,1729,2513,,2,10,2.75
3,1729,1941,,2,10,2.75
3,1729,1783,,4,10,2.75
3,2085,457,,3,10,2.75
3,2085,2513,,2,10,2.75
3,2085,1941,,2,10,2.75
3,2085,1783,,4,10,2.75
3,2101,457,,3,10,2.75
3,2101,2513,,2,10,2.75
3,2101,1941,,2,10,2.75
3,2101,1783,,4,10,2.75
3,2109,457,,1,10,1.75
3,2109,2513,,1,10,1.75
3,2109,1941,,3,10,1.75
3,2109,1783,,2,10,1.75
3,2290,457,,1,9,1.25
3,2290,2513,,1,9,1.25
3,2290,1941,,2,9,1.25
3,2290,1783,,1,9,1.25
3,2344,457,,1,10,2.25
3,2344,2513,,1,10,2.25
3,2344,1941,,4,10,2.25
3,2344,1783,,3,10,2.25
3,25,457,,3,10,2.5
3,25,2513,,2,10,2.5
3,25,1941,,1,10,2.5
3,25,1783,,4,10,2.5
3,2557,457,,1,10,1.75
3,2557,2513,,2,10,1.75
3,2557,1941,,2,10,1.75
3,2557,1783,,2,10,1.75
3,2617,457,,1,10,2.0
3,2617,2513,,2,10,2.0
3,2617,1941,,3,10,2.0
3,2617,1783,,2,10,2.0
3,2963,457,,3,10,3.5
3,2963,2513,,4,10,3.5
3,2963,1941,,3,10,3.5
3,2963,1783,,4,10,3.5
3,2972,457,,2,10,2.25
3,2972,2513,,3,10,2.25
3,2972,1941,,1,10,2.25
3,2972,1783,,3,10,2.25
3,3069,457,,1,10,1.0
3,3069,2513,,1,10,1.0
3,3069,1941,,1,10,1.0
3,3069,1783,,1,10,1.0
3,3119,457,,1,10,2.0
3,3119,2513,,2,10,2.0
3,3119,1941,,3,10,2.0
3,3119,1783,,2,10,2.0
3,3136,457,,1,10,1.75
3,3136,2513,,2,10,1.75
3,3136,1941,,1,10,1.75
3,3136,1783,,3,10,1.75
3,3165,457,,1,10,2.0
3,3165,2513,,1,10,2.0
3,3165,1941,,3,10,2.0
3,3165,1783,,3,10,2.0
3,3178,457,,3,9,2.75
3,3178,2513,,3,9,2.75
3,3178,1941,,2,9,2.75
3,3178,1783,,3,9,2.75
3,3209,457,,4,10,4.25
3,3209,2513,,5,10,4.25
3,3209,1941,,3,10,4.25
3,3209,1783,,5,10,4.25
3,3237,457,,5,10,4.75
3,3237,2513,,5,10,4.75
3,3237,1941,,4,10,4.75
3,3237,1783,,5,10,4.75
3,3484,457,,4,9,3.5
3,3484,2513,,4,9,3.5
3,3484,1941,,2,9,3.5
3,3484,1783,,4,9,3.5
3,3732,457,,1,10,1.75
3,3732,2513,,2,10,1.75
3,3732,1941,,2,10,1.75
3,3732,1783,,2,10,1.75
3,3737,457,,3,9,2.75
3,3737,2513,,3,9,2.75
3,3737,1941,,2,9,2.75
3,3737,1783,,3,9,2.75
3,393,457,,3,10,3.25
3,393,2513,,3,10,3.25
3,393,1941,,3,10,3.25
3,393,1783,,4,10,3.25
3,4088,457,,2,10,2.25
3,4088,2513,,3,10,2.25
3,4088,1941,,1,10,2.25
3,4088,1783,,3,10,2.25
