usuario,hotel_recomendado,propiedad,hotel_consumido,amf,attribute_frequency,attribute_tfidf,attribute_contribution_score,attribute_presence_ratio,attribute_overlap_count,attribute_overlap_ratio,attribute_novelty,attribute_specificity,attribute_stability,attribute_variability
3,104,has_name:French Market,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.75
3,104,has_attribute:GoodForKids=True,,0.25,1,0.9162907318741551,1,0.18181818181818182,6,0.08333333333333333,0,0.5,0.25,0.8461538461538461
3,104,"has_attribute:BusinessParking={garage: False, street: True, validated: False, lot: True, valet: False}",,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8461538461538461
3,104,has_attribute:BusinessAcceptsCreditCards=True,,0.5,2,1.0216512475319814,2,0.18181818181818182,6,0.08333333333333333,0,0.3333333333333333,0.5,0.8461538461538461
3,104,has_attribute:DogsAllowed=True,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8461538461538461
3,104,has_attribute:RestaurantsPriceRange2=2,,0.25,1,0.9162907318741551,1,0.18181818181818182,6,0.08333333333333333,0,0.5,0.25,0.8461538461538461
3,104,has_attribute:ByAppointmentOnly=False,,0.25,1,0.9162907318741551,1,0.18181818181818182,6,0.08333333333333333,0,0.5,0.25,0.8461538461538461
3,104,has_attribute:Caters=False,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8461538461538461
3,104,has_attribute:BikeParking=True,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8461538461538461
3,104,has_attribute:RestaurantsTakeOut=True,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8461538461538461
3,104,has_category:Gift Shops,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Farmers Market,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Fashion,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Flowers & Gifts,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Tours,,0.5,2,1.0216512475319814,2,0.18181818181818182,6,0.08333333333333333,0,0.3333333333333333,0.5,0.8333333333333334
3,104,has_category:Specialty Food,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Shopping Centers,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Arts & Crafts,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Art Supplies,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Used,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Public Markets,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Food,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Vintage & Consignment,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Flea Markets,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Fruits & Veggies,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,has_category:Shopping,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.8333333333333334
3,104,"has_coordinates:(29.9590, -90.0602)",,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.75
3,104,has_rating:3.5 stars,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.5
3,104,status:open,,1.0,4,0.0,4,0.18181818181818182,6,0.08333333333333333,0,0.2,1.0,0.0
3,104,has_postal_code:70116,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.25
3,104,located_in_city:New Orleans,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.25
3,104,in_state:LA,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.0
3,104,has_review_count:692 reviews,,0.0,0,0.0,0,0.18181818181818182,6,0.08333333333333333,1,1.0,0.0,0.75
3,1054,in_state:PA,,1.0,4,0.0,4,0.4666666666666667,7,0.1320754716981132,0,0.2,1.0,0.0
3,1054,has_category:Event Planning & Services,,0.25,1,0.9162907318741551,1,0.4666666666666667,7,0.1320754716981132,0,0.5,0.25,0.8333333333333334
3,1054,has_category:Wedding Planning,,0.0,0,0.0,0,0.4666666666666667,7,0.1320754716981132,1,1.0,0.0,0.8333333333333334
3,1054,has_category:Venues & Event Spaces,,0.0,0,0.0,0,0.4666666666666667,7,0.1320754716981132,1,1.0,0.0,0.8333333333333334
3,1054,has_attribute:WiFi=free,,0.5,2,1.0216512475319814,2,0.4666666666666667,7,0.1320754716981132,0,0.3333333333333333,0.5,0.8461538461538461
3,1054,has_attribute:RestaurantsPriceRange2=3,,0.0,0,0.0,0,0.4666666666666667,7,0.1320754716981132,1,1.0,0.0,0.8461538461538461
3,1054,has_attribute:BusinessAcceptsCreditCards=True,,0.5,2,1.0216512475319814,2,0.4666666666666667,7,0.1320754716981132,0,0.3333333333333333,0.5,0.8461538461538461
3,1054,has_attribute:DogsAllowed=True,,0.0,0,0.0,0,0.4666666666666667,7,0.1320754716981132,1,1.0,0.0,0.8461538461538461
3,1054,has_name:Kimpton Hotel Palomar Philadelphia,,0.0,0,0.0,0,0.4666666666666667,7,0.1320754716981132,1,1.0,0.0,0.75
3,1054,status:open,,1.0,4,0.0,4,0.4666666666666667,7,0.1320754716981132,0,0.2,1.0,0.0
3,1054,has_review_count:444 reviews,,0.0,0,0.0,0,0.4666666666666667,7,0.1320754716981132,1,1.0,0.0,0.75
3,1054,located_in_city:Philadelphia,,0.75,3,0.6694306539426294,3,0.4666666666666667,7,0.1320754716981132,0,0.25,0.75,0.25
3,1054,has_rating:4.0 stars,,0.25,1,0.9162907318741551,1,0.4666666666666667,7,0.1320754716981132,0,0.5,0.25,0.5
3,1054,"has_coordinates:(39.9508, -75.1686)",,0.0,0,0.0,0,0.4666666666666667,7,0.1320754716981132,1,1.0,0.0,0.75
3,1054,has_postal_code:19103,,0.0,0,0.0,0,0.4666666666666667,7,0.1320754716981132,1,1.0,0.0,0.25
3,1093,has_review_count:415 reviews,,0.0,0,0.0,0,0.2777777777777778,5,0.08620689655172414,1,1.0,0.0,0.75
3,1093,has_name:Tucson International Airport - TUS,,0.0,0,0.0,0,0.2777777777777778,5,0.08620689655172414,1,1.0,0.0,0.75
3,1093,has_category:Shopping,,0.0,0,0.0,0,0.2777777777777778,5,0.08620689655172414,1,1.0,0.0,0.8333333333333334
3,1093,has_category:Employment Agencies,,0.0,0,0.0,0,0.2777777777777778,5,0.08620689655172414,1,1.0,0.0,0.8333333333333334
3,1093,has_category:Airports,,0.0,0,0.0,0,0.2777777777777778,5,0.08620689655172414,1,1.0,0.0,0.8333333333333334
3,1093,has_category:Professional Services,,0.0,0,0.0,0,0.2777777777777778,5,0.08620689655172414,1,1.0,0.0,0.8333333333333334
3,1093,has_category:Shopping Centers,,0.0,0,0.0,0,0.2777777777777778,5,0.08620689655172414,1,1.0,0.0,0.8333333333333334
3,1093,has_attribute:BikeParking=True,,0.0,0,0.0,0,0.2777777777777778,5,0.08620689655172414,1,1.0,0.0,0.8461538461538461
3,1093,has_attribute:ByAppointmentOnly=False,,0.25,1,0.9162907318741551,1,0.2777777777777778,5,0.08620689655172414,0,0.5,0.25,0.8461538461538461
3,1093,"has_attribute:BusinessParking={garage: False, street: False, validated: False, lot: False, valet: False}",,0.0,0,0.0,0,0.2777777777777778,5,0.08620689655172414,1,1.0,0.0,0.8461538461538461
3,1093,has_attribute:RestaurantsPriceRange2=2,,0.25,1,0.9162907318741551,1,0.2777777777777778,5,0.08620689655172414,0,0.5,0.25,0.8461538461538461
3,1093,has_attribute:WiFi=free,,0.5,2,1.0216512475319814,2,0.2777777777777778,5,0.08620689655172414,0,0.3333333333333333,0.5,0.8461538461538461
3,1093,has_rating:4.0 stars,,0.25,1,0.9162907318741551,1,0.2777777777777778,5,0.08620689655172414,0,0.5,0.25,0.5
3,1093,located_in_city:Tucson,,0.0,0,0.0,0,0.2777777777777778,5,0.08620689655172414,1,1.0,0.0,0.25
3,1093,"has_coordinates:(32.1203, -110.9373)",,0.0,0,0.0,0,0.2777777777777778,5,0.08620689655172414,1,1.0,0.0,0.75
3,1093,has_postal_code:85706,,0.0,0,0.0,0,0.2777777777777778,5,0.08620689655172414,1,1.0,0.0,0.25
3,1093,in_state:AZ,,0.0,0,0.0,0,0.2777777777777778,5,0.08620689655172414,1,1.0,0.0,0.0
3,1093,status:open,,1.0,4,0.0,4,0.2777777777777778,5,0.08620689655172414,0,0.2,1.0,0.0
3,1164,has_category:Tours,,0.5,2,1.0216512475319814,2,0.47368421052631576,9,0.16363636363636364,0,0.3333333333333333,0.5,0.8333333333333334
3,1164,has_category:Event Planning & Services,,0.25,1,0.9162907318741551,1,0.47368421052631576,9,0.16363636363636364,0,0.5,0.25,0.8333333333333334
3,1164,has_category:Automotive,,0.0,0,0.0,0,0.47368421052631576,9,0.16363636363636364,1,1.0,0.0,0.8333333333333334
3,1164,has_category:Venues & Event Spaces,,0.0,0,0.0,0,0.47368421052631576,9,0.16363636363636364,1,1.0,0.0,0.8333333333333334
3,1164,has_category:Festivals,,0.0,0,0.0,0,0.47368421052631576,9,0.16363636363636364,1,1.0,0.0,0.8333333333333334
3,1164,has_category:Arts & Entertainment,,0.25,1,0.9162907318741551,1,0.47368421052631576,9,0.16363636363636364,0,0.5,0.25,0.8333333333333334
3,1164,has_category:Local Flavor,,0.25,1,0.9162907318741551,1,0.47368421052631576,9,0.16363636363636364,0,0.5,0.25,0.8333333333333334
3,1164,has_category:Museums,,0.25,1,0.9162907318741551,1,0.47368421052631576,9,0.16363636363636364,0,0.5,0.25,0.8333333333333334
3,1164,has_attribute:DogsAllowed=False,,0.0,0,0.0,0,0.47368421052631576,9,0.16363636363636364,1,1.0,0.0,0.8461538461538461
3,1164,has_attribute:BusinessAcceptsCreditCards=True,,0.5,2,1.0216512475319814,2,0.47368421052631576,9,0.16363636363636364,0,0.3333333333333333,0.5,0.8461538461538461
3,1164,has_attribute:GoodForKids=True,,0.25,1,0.9162907318741551,1,0.47368421052631576,9,0.16363636363636364,0,0.5,0.25,0.8461538461538461
3,1164,has_review_count:403 reviews,,0.0,0,0.0,0,0.47368421052631576,9,0.16363636363636364,1,1.0,0.0,0.75
3,1164,in_state:LA,,0.0,0,0.0,0,0.47368421052631576,9,0.16363636363636364,1,1.0,0.0,0.0
3,1164,has_postal_code:70130,,0.0,0,0.0,0,0.47368421052631576,9,0.16363636363636364,1,1.0,0.0,0.25
3,1164,located_in_city:New Orleans,,0.0,0,0.0,0,0.47368421052631576,9,0.16363636363636364,1,1.0,0.0,0.25
3,1164,has_name:Mardi Gras World-Riverfront,,0.0,0,0.0,0,0.47368421052631576,9,0.16363636363636364,1,1.0,0.0,0.75
3,1164,"has_coordinates:(29.9350, -90.0617)",,0.0,0,0.0,0,0.47368421052631576,9,0.16363636363636364,1,1.0,0.0,0.75
3,1164,status:open,,1.0,4,0.0,4,0.47368421052631576,9,0.16363636363636364,0,0.2,1.0,0.0
3,1164,has_rating:4.0 stars,,0.25,1,0.9162907318741551,1,0.47368421052631576,9,0.16363636363636364,0,0.5,0.25,0.5
3,1442,has_category:Airports,,0.0,0,0.0,0,0.4117647058823529,7,0.12727272727272726,1,1.0,0.0,0.8333333333333334
3,1442,has_category:Transportation,,0.0,0,0.0,0,0.4117647058823529,7,0.12727272727272726,1,1.0,0.0,0.8333333333333334
3,1442,located_in_city:Kenner,,0.0,0,0.0,0,0.4117647058823529,7,0.12727272727272726,1,1.0,0.0,0.25
3,1442,status:open,,1.0,4,0.0,4,0.4117647058823529,7,0.12727272727272726,0,0.2,1.0,0.0
3,1442,has_postal_code:70062,,0.0,0,0.0,0,0.4117647058823529,7,0.12727272727272726,1,1.0,0.0,0.25
3,1442,has_attribute:RestaurantsDelivery=False,,0.25,1,0.9162907318741551,1,0.4117647058823529,7,0.12727272727272726,0,0.5,0.25,0.8461538461538461
3,1442,"has_attribute:GoodForMeal={dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}",,0.0,0,0.0,0,0.4117647058823529,7,0.12727272727272726,1,1.0,0.0,0.8461538461538461
3,1442,has_attribute:WiFi=free,,0.5,2,1.0216512475319814,2,0.4117647058823529,7,0.12727272727272726,0,0.3333333333333333,0.5,0.8461538461538461
3,1442,has_attribute:RestaurantsPriceRange2=2,,0.25,1,0.9162907318741551,1,0.4117647058823529,7,0.12727272727272726,0,0.5,0.25,0.8461538461538461
3,1442,has_attribute:ByAppointmentOnly=False,,0.25,1,0.9162907318741551,1,0.4117647058823529,7,0.12727272727272726,0,0.5,0.25,0.8461538461538461
3,1442,has_attribute:RestaurantsTakeOut=True,,0.0,0,0.0,0,0.4117647058823529,7,0.12727272727272726,1,1.0,0.0,0.8461538461538461
3,1442,has_attribute:OutdoorSeating=False,,0.25,1,0.9162907318741551,1,0.4117647058823529,7,0.12727272727272726,0,0.5,0.25,0.8461538461538461
3,1442,has_name:Louis Armstrong New Orleans International Airport  MSY,,0.0,0,0.0,0,0.4117647058823529,7,0.12727272727272726,1,1.0,0.0,0.75
3,1442,has_rating:3.0 stars,,0.25,1,0.9162907318741551,1,0.4117647058823529,7,0.12727272727272726,0,0.5,0.25,0.5
3,1442,"has_coordinates:(29.9959, -90.2552)",,0.0,0,0.0,0,0.4117647058823529,7,0.12727272727272726,1,1.0,0.0,0.75
3,1442,in_state:LA,,0.0,0,0.0,0,0.4117647058823529,7,0.12727272727272726,1,1.0,0.0,0.0
3,1442,has_review_count:1789 reviews,,0.0,0,0.0,0,0.4117647058823529,7,0.12727272727272726,1,1.0,0.0,0.75
3,1487,has_name:Ride The Ducks,,0.0,0,0.0,0,0.5,5,0.1,1,1.0,0.0,0.75
3,1487,status:closed,,0.0,0,0.0,0,0.5,5,0.1,1,1.0,0.0,0.0
3,1487,has_postal_code:19106,,0.75,3,0.6694306539426294,3,0.5,5,0.1,0,0.25,0.75,0.25
3,1487,has_category:Tours,,0.5,2,1.0216512475319814,2,0.5,5,0.1,0,0.3333333333333333,0.5,0.8333333333333334
3,1487,has_category:Local Flavor,,0.25,1,0.9162907318741551,1,0.5,5,0.1,0,0.5,0.25,0.8333333333333334
3,1487,located_in_city:Philadelphia,,0.75,3,0.6694306539426294,3,0.5,5,0.1,0,0.25,0.75,0.25
3,1487,"has_coordinates:(39.9510, -75.1503)",,0.0,0,0.0,0,0.5,5,0.1,1,1.0,0.0,0.75
3,1487,has_review_count:83 reviews,,0.0,0,0.0,0,0.5,5,0.1,1,1.0,0.0,0.75
3,1487,in_state:PA,,1.0,4,0.0,4,0.5,5,0.1,0,0.2,1.0,0.0
3,1487,has_rating:3.5 stars,,0.0,0,0.0,0,0.5,5,0.1,1,1.0,0.0,0.5
3,1608,has_postal_code:70094,,0.0,0,0.0,0,0.4166666666666667,5,0.09615384615384616,1,1.0,0.0,0.25
3,1608,has_category:Arts & Entertainment,,0.25,1,0.9162907318741551,1,0.4166666666666667,5,0.09615384615384616,0,0.5,0.25,0.8333333333333334
3,1608,has_category:Tours,,0.5,2,1.0216512475319814,2,0.4166666666666667,5,0.09615384615384616,0,0.3333333333333333,0.5,0.8333333333333334
3,1608,has_category:Professional Sports Teams,,0.0,0,0.0,0,0.4166666666666667,5,0.09615384615384616,1,1.0,0.0,0.8333333333333334
3,1608,"has_coordinates:(29.9001, -90.1523)",,0.0,0,0.0,0,0.4166666666666667,5,0.09615384615384616,1,1.0,0.0,0.75
3,1608,has_attribute:WiFi=free,,0.5,2,1.0216512475319814,2,0.4166666666666667,5,0.09615384615384616,0,0.3333333333333333,0.5,0.8461538461538461
3,1608,has_review_count:472 reviews,,0.0,0,0.0,0,0.4166666666666667,5,0.09615384615384616,1,1.0,0.0,0.75
