usuario,hotel_recomendado,propiedad,hotel_consumido,relation_type,semantic_group,type_specific_match_frequency,relation_weight,weighted_type_match_score
3,104,,,has_name,identity,0.0,0.5,0.5013888888888889
3,104,,,has_attribute,attribute,0.1388888888888889,1.0,0.5013888888888889
3,104,,,has_category,category,0.03125,2.0,0.5013888888888889
3,104,,,has_coordinates,location,0.0,1.0,0.5013888888888889
3,104,,,has_rating,quality,0.0,1.5,0.5013888888888889
3,104,,,status,identity,1.0,0.3,0.5013888888888889
3,104,,,has_postal_code,location,0.0,1.0,0.5013888888888889
3,104,,,located_in_city,location,0.0,3.0,0.5013888888888889
3,104,,,in_state,location,0.0,2.5,0.5013888888888889
3,104,,,has_review_count,quality,0.0,0.8,0.5013888888888889
3,1054,,,in_state,location,1.0,2.5,5.841666666666667
3,1054,,,has_category,category,0.08333333333333333,2.0,5.841666666666667
3,1054,,,has_attribute,attribute,0.25,1.0,5.841666666666667
3,1054,,,has_name,identity,0.0,0.5,5.841666666666667
3,1054,,,status,identity,1.0,0.3,5.841666666666667
3,1054,,,has_review_count,quality,0.0,0.8,5.841666666666667
3,1054,,,located_in_city,location,0.75,3.0,5.841666666666667
3,1054,,,has_rating,quality,0.25,1.5,5.841666666666667
3,1054,,,has_coordinates,location,0.0,1.0,5.841666666666667
3,1054,,,has_postal_code,location,0.0,1.0,5.841666666666667
3,1093,,,has_review_count,quality,0.0,0.8,0.875
3,1093,,,has_name,identity,0.0,0.5,0.875
3,1093,,,has_category,category,0.0,2.0,0.875
3,1093,,,has_attribute,attribute,0.2,1.0,0.875
3,1093,,,has_rating,quality,0.25,1.5,0.875
3,1093,,,located_in_city,location,0.0,3.0,0.875
3,1093,,,has_coordinates,location,0.0,1.0,0.875
3,1093,,,has_postal_code,location,0.0,1.0,0.875
3,1093,,,in_state,location,0.0,2.5,0.875
3,1093,,,status,identity,1.0,0.3,0.875
3,1164,,,has_category,category,0.1875,2.0,1.3
3,1164,,,has_attribute,attribute,0.25,1.0,1.3
3,1164,,,has_review_count,quality,0.0,0.8,1.3
3,1164,,,in_state,location,0.0,2.5,1.3
3,1164,,,has_postal_code,location,0.0,1.0,1.3
3,1164,,,located_in_city,location,0.0,3.0,1.3
3,1164,,,has_name,identity,0.0,0.5,1.3
3,1164,,,has_coordinates,location,0.0,1.0,1.3
3,1164,,,status,identity,1.0,0.3,1.3
3,1164,,,has_rating,quality,0.25,1.5,1.3
3,1442,,,has_category,category,0.0,2.0,0.8892857142857142
3,1442,,,located_in_city,location,0.0,3.0,0.8892857142857142
3,1442,,,status,identity,1.0,0.3,0.8892857142857142
3,1442,,,has_postal_code,location,0.0,1.0,0.8892857142857142
3,1442,,,has_attribute,attribute,0.21428571428571427,1.0,0.8892857142857142
3,1442,,,has_name,identity,0.0,0.5,0.8892857142857142
3,1442,,,has_rating,quality,0.25,1.5,0.8892857142857142
3,1442,,,has_coordinates,location,0.0,1.0,0.8892857142857142
3,1442,,,in_state,location,0.0,2.5,0.8892857142857142
3,1442,,,has_review_count,quality,0.0,0.8,0.8892857142857142
3,1487,,,has_name,identity,0.0,0.5,6.25
3,1487,,,status,identity,0.0,0.3,6.25
3,1487,,,has_postal_code,location,0.75,1.0,6.25
3,1487,,,has_category,category,0.375,2.0,6.25
3,1487,,,located_in_city,location,0.75,3.0,6.25
3,1487,,,has_coordinates,location,0.0,1.0,6.25
3,1487,,,has_review_count,quality,0.0,0.8,6.25
3,1487,,,in_state,location,1.0,2.5,6.25
3,1487,,,has_rating,quality,0.0,1.5,6.25
3,1608,,,has_postal_code,location,0.0,1.0,2.05
3,1608,,,has_category,category,0.25,2.0,2.05
3,1608,,,has_coordinates,location,0.0,1.0,2.05
3,1608,,,has_attribute,attribute,0.5,1.0,2.05
3,1608,,,has_review_count,quality,0.0,0.8,2.05
3,1608,,,has_rating,quality,0.5,1.5,2.05
3,1608,,,located_in_city,location,0.0,3.0,2.05
3,1608,,,status,identity,1.0,0.3,2.05
3,1608,,,has_name,identity,0.0,0.5,2.05
3,1608,,,in_state,location,0.0,2.5,2.05
3,163,,,has_category,category,0.05,2.0,6.321296296296296
3,163,,,has_attribute,attribute,0.046296296296296294,1.0,6.321296296296296
3,163,,,has_review_count,quality,0.0,0.8,6.321296296296296
3,163,,,has_name,identity,0.0,0.5,6.321296296296296
3,163,,,has_rating,quality,0.25,1.5,6.321296296296296
3,163,,,status,identity,1.0,0.3,6.321296296296296
3,163,,,has_coordinates,location,0.0,1.0,6.321296296296296
3,163,,,has_postal_code,location,0.75,1.0,6.321296296296296
3,163,,,located_in_city,location,0.75,3.0,6.321296296296296
3,163,,,in_state,location,1.0,2.5,6.321296296296296
3,1693,,,has_attribute,attribute,0.075,1.0,3.4375
3,1693,,,status,identity,1.0,0.3,3.4375
3,1693,,,in_state,location,1.0,2.5,3.4375
3,1693,,,has_category,category,0.09375,2.0,3.4375
3,1693,,,has_coordinates,location,0.0,1.0,3.4375
3,1693,,,has_review_count,quality,0.0,0.8,3.4375
3,1693,,,has_name,identity,0.0,0.5,3.4375
3,1693,,,has_postal_code,location,0.0,1.0,3.4375
3,1693,,,has_rating,quality,0.25,1.5,3.4375
3,1693,,,located_in_city,location,0.0,3.0,3.4375
3,1729,,,has_attribute,attribute,0.25,1.0,1.6571428571428573
3,1729,,,has_review_count,quality,0.0,0.8,1.6571428571428573
3,1729,,,has_category,category,0.17857142857142858,2.0,1.6571428571428573
3,1729,,,has_coordinates,location,0.0,1.0,1.6571428571428573
3,1729,,,status,identity,1.0,0.3,1.6571428571428573
3,1729,,,in_state,location,0.0,2.5,1.6571428571428573
3,1729,,,has_rating,quality,0.5,1.5,1.6571428571428573
3,1729,,,has_postal_code,location,0.0,1.0,1.6571428571428573
3,1729,,,located_in_city,location,0.0,3.0,1.6571428571428573
3,1729,,,has_name,identity,0.0,0.5,1.6571428571428573
3,2085,,,has_category,category,0.07692307692307693,2.0,1.3038461538461539
3,2085,,,has_attribute,attribute,0.1,1.0,1.3038461538461539
3,2085,,,in_state,location,0.0,2.5,1.3038461538461539
3,2085,,,has_review_count,quality,0.0,0.8,1.3038461538461539
3,2085,,,status,identity,1.0,0.3,1.3038461538461539
3,2085,,,has_coordinates,location,0.0,1.0,1.3038461538461539
3,2085,,,has_rating,quality,0.5,1.5,1.3038461538461539
3,2085,,,has_postal_code,location,0.0,1.0,1.3038461538461539
3,2085,,,has_name,identity,0.0,0.5,1.3038461538461539
