usuario,hotel_recomendado,hotel_historico,num_propiedades_compartidas,propiedades_compartidas
339,1144,3620,5,"[('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('Nightlife', 'has_category'), ('open', 'status')]"
339,1144,880,3,"[('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('open', 'status')]"
339,1144,5360,8,"[('4.5 stars', 'has_rating'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('Nightlife', 'has_category'), ('Saint Louis', 'located_in_city'), ('Tours', 'has_category'), ('open', 'status')]"
339,1144,2109,4,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('open', 'status')]"
339,1195,3620,6,"[('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('St. Louis', 'located_in_city'), ('open', 'status')]"
339,1195,880,2,"[('MO', 'in_state'), ('open', 'status')]"
339,1195,5360,5,"[('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('open', 'status')]"
339,1195,2109,4,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('DogsAllowed=True', 'has_attribute'), ('MO', 'in_state'), ('open', 'status')]"
339,1298,3620,13,"[('Alcohol=full_bar', 'has_attribute'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('HasTV=True', 'has_attribute'), ('MO', 'in_state'), ('Nightlife', 'has_category'), ('NoiseLevel=average', 'has_attribute'), ('Restaurants', 'has_category'), ('RestaurantsGoodForGroups=True', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,1298,880,4,"[('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,1298,5360,16,"[('Alcohol=full_bar', 'has_attribute'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('DogsAllowed=False', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('GoodForKids=True', 'has_attribute'), ('HasTV=True', 'has_attribute'), ('MO', 'in_state'), ('Nightlife', 'has_category'), ('NoiseLevel=average', 'has_attribute'), ('OutdoorSeating=False', 'has_attribute'), ('RestaurantsGoodForGroups=True', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('Saint Louis', 'located_in_city'), ('Venues & Event Spaces', 'has_category'), ('open', 'status')]"
339,1298,2109,9,"[('3.5 stars', 'has_rating'), ('BusinessAcceptsBitcoin=False', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('Venues & Event Spaces', 'has_category'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,1356,3620,4,"[('Arts & Entertainment', 'has_category'), ('MO', 'in_state'), ('St. Louis', 'located_in_city'), ('open', 'status')]"
339,1356,880,3,"[('ByAppointmentOnly=False', 'has_attribute'), ('MO', 'in_state'), ('open', 'status')]"
339,1356,5360,7,"[('4.5 stars', 'has_rating'), ('Arts & Entertainment', 'has_category'), ('DogsAllowed=False', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('MO', 'in_state'), ('Tours', 'has_category'), ('open', 'status')]"
339,1356,2109,2,"[('MO', 'in_state'), ('open', 'status')]"
339,1396,3620,13,"[('3.0 stars', 'has_rating'), ('Alcohol=full_bar', 'has_attribute'), ('Arts & Entertainment', 'has_category'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Casinos', 'has_category'), ('Event Planning & Services', 'has_category'), ('GoodForKids=False', 'has_attribute'), ('HasTV=True', 'has_attribute'), ('MO', 'in_state'), ('NoiseLevel=average', 'has_attribute'), ('Restaurants', 'has_category'), ('RestaurantsGoodForGroups=True', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute')]"
339,1396,880,2,"[('3.0 stars', 'has_rating'), ('MO', 'in_state')]"
339,1396,5360,10,"[('Alcohol=full_bar', 'has_attribute'), ('Arts & Entertainment', 'has_category'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('HasTV=True', 'has_attribute'), ('MO', 'in_state'), ('NoiseLevel=average', 'has_attribute'), ('OutdoorSeating=False', 'has_attribute'), ('RestaurantsGoodForGroups=True', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute')]"
339,1396,2109,3,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('MO', 'in_state')]"
339,1442,3620,4,"[('3.0 stars', 'has_rating'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,1442,880,5,"[('3.0 stars', 'has_rating'), ('Airports', 'has_category'), ('ByAppointmentOnly=False', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,1442,5360,3,"[('OutdoorSeating=False', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('open', 'status')]"
339,1442,2109,2,"[('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,150,3620,12,"[('Alcohol=full_bar', 'has_attribute'), ('Arts & Entertainment', 'has_category'), ('BusinessParking={garage: True, street: False, validated: False, lot: True, valet: True}', 'has_attribute'), ('Casinos', 'has_category'), ('Event Planning & Services', 'has_category'), ('GoodForKids=False', 'has_attribute'), ('HasTV=True', 'has_attribute'), ('MO', 'in_state'), ('Restaurants', 'has_category'), ('RestaurantsGoodForGroups=True', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,150,880,3,"[('MO', 'in_state'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,150,5360,8,"[('Alcohol=full_bar', 'has_attribute'), ('Arts & Entertainment', 'has_category'), ('DogsAllowed=False', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('HasTV=True', 'has_attribute'), ('MO', 'in_state'), ('RestaurantsGoodForGroups=True', 'has_attribute'), ('open', 'status')]"
339,150,2109,5,"[('Event Planning & Services', 'has_category'), ('MO', 'in_state'), ('RestaurantsPriceRange2=3', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,1798,3620,7,"[('3.0 stars', 'has_rating'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('MO', 'in_state'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,1798,880,5,"[('3.0 stars', 'has_rating'), ('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,1798,5360,6,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('MO', 'in_state'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('Saint Louis', 'located_in_city'), ('open', 'status')]"
339,1798,2109,7,"[('BusinessAcceptsBitcoin=False', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,180,3620,2,"[('MO', 'in_state'), ('open', 'status')]"
339,180,880,3,"[('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('open', 'status')]"
339,180,5360,4,"[('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('WiFi=no', 'has_attribute'), ('open', 'status')]"
339,180,2109,3,"[('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('open', 'status')]"
339,1840,3620,3,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('open', 'status')]"
339,1840,880,5,"[('63145', 'has_postal_code'), ('Airports', 'has_category'), ('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('open', 'status')]"
339,1840,5360,5,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('WiFi=no', 'has_attribute'), ('open', 'status')]"
339,1840,2109,4,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('open', 'status')]"
339,2085,3620,10,"[('Arts & Entertainment', 'has_category'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('NoiseLevel=average', 'has_attribute'), ('OutdoorSeating=True', 'has_attribute'), ('RestaurantsGoodForGroups=True', 'has_attribute'), ('RestaurantsReservations=False', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,2085,880,5,"[('ByAppointmentOnly=False', 'has_attribute'), ('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,2085,5360,12,"[('4.5 stars', 'has_rating'), ('Arts & Entertainment', 'has_category'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('DogsAllowed=False', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('MO', 'in_state'), ('NoiseLevel=average', 'has_attribute'), ('RestaurantsGoodForGroups=True', 'has_attribute'), ('Saint Louis', 'located_in_city'), ('Tours', 'has_category'), ('open', 'status')]"
339,2085,2109,5,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
339,2191,3620,3,"[('Event Planning & Services', 'has_category'), ('MO', 'in_state'), ('open', 'status')]"
339,2191,880,3,"[('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('open', 'status')]"
339,2191,5360,5,"[('63103', 'has_postal_code'), ('Event Planning & Services', 'has_category'), ('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('open', 'status')]"
339,2191,2109,4,"[('Event Planning & Services', 'has_category'), ('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('open', 'status')]"
