name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,item_id,category,attribute_key,attribute_value
Nifty Car Rental,1241 Airline Dr,Kenner,LA,70062,29.981183,-90.2540123,3.5,14,1,941,Automotive,,None
Nifty Car Rental,1241 Airline Dr,Kenner,LA,70062,29.981183,-90.2540123,3.5,14,1,941,Car Rental,,None
Nifty Car Rental,1241 Airline Dr,Kenner,LA,70062,29.981183,-90.2540123,3.5,14,1,941,Truck Rental,,None
River 127,100 Iberville St,New Orleans,LA,70130,29.951359,-90.0646715,3.0,12,1,5542,Event Planning & Services,BusinessAcceptsCreditCards,True
River 127,100 Iberville St,New Orleans,LA,70130,29.951359,-90.0646715,3.0,12,1,5542,Event Planning & Services,WiFi,no
River 127,100 Iberville St,New Orleans,LA,70130,29.951359,-90.0646715,3.0,12,1,5542,Event Planning & Services,RestaurantsPriceRange2,2
Fairfield Inn & Suites,719 E Baltimore Pike,Kennett Square,PA,19348,39.8562475317,-75.6946098804,3.0,37,1,5613,Event Planning & Services,BusinessAcceptsCreditCards,True
Fairfield Inn & Suites,719 E Baltimore Pike,Kennett Square,PA,19348,39.8562475317,-75.6946098804,3.0,37,1,5613,Event Planning & Services,WiFi,free
Fairfield Inn & Suites,719 E Baltimore Pike,Kennett Square,PA,19348,39.8562475317,-75.6946098804,3.0,37,1,5613,Event Planning & Services,RestaurantsPriceRange2,2
New Orleans Spirit Tours,723 St Peter St,New Orleans,LA,70130,29.958431,-90.065173,4.0,38,1,5348,Tours,WiFi,no
New Orleans Spirit Tours,723 St Peter St,New Orleans,LA,70130,29.958431,-90.065173,4.0,38,1,5348,Local Flavor,WiFi,no
Big Boyz Toyz Motorcycle Rentals,4158 E Grant Rd,Tucson,AZ,85712,32.2503237,-110.9036553,4.5,8,1,3904,Towing,,None
Big Boyz Toyz Motorcycle Rentals,4158 E Grant Rd,Tucson,AZ,85712,32.2503237,-110.9036553,4.5,8,1,3904,Automotive,,None
Big Boyz Toyz Motorcycle Rentals,4158 E Grant Rd,Tucson,AZ,85712,32.2503237,-110.9036553,4.5,8,1,3904,Motorcycle Rental,,None
Big Boyz Toyz Motorcycle Rentals,4158 E Grant Rd,Tucson,AZ,85712,32.2503237,-110.9036553,4.5,8,1,3904,Motorcycle Gear,,None
Big Boyz Toyz Motorcycle Rentals,4158 E Grant Rd,Tucson,AZ,85712,32.2503237,-110.9036553,4.5,8,1,3904,Shopping,,None
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Bars,BikeParking,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Beer Gardens,BikeParking,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Food,BikeParking,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Breweries,BikeParking,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Nightlife,BikeParking,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Tours,BikeParking,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Pubs,BikeParking,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Wine Tours,BikeParking,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Beer Tours,BikeParking,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Bars,BusinessAcceptsCreditCards,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Beer Gardens,BusinessAcceptsCreditCards,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Food,BusinessAcceptsCreditCards,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Breweries,BusinessAcceptsCreditCards,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Nightlife,BusinessAcceptsCreditCards,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Tours,BusinessAcceptsCreditCards,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Pubs,BusinessAcceptsCreditCards,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Wine Tours,BusinessAcceptsCreditCards,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Beer Tours,BusinessAcceptsCreditCards,True
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Bars,RestaurantsTakeOut,False
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Beer Gardens,RestaurantsTakeOut,False
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Food,RestaurantsTakeOut,False
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Breweries,RestaurantsTakeOut,False
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Nightlife,RestaurantsTakeOut,False
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Tours,RestaurantsTakeOut,False
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Pubs,RestaurantsTakeOut,False
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Wine Tours,RestaurantsTakeOut,False
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Beer Tours,RestaurantsTakeOut,False
Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,5111,Bars,RestaurantsPriceRange2,1
