usuario,negocio,prediccion_recomendador
3,45,21.10935
3,3209,12.209659
3,1442,11.054661
3,907,10.714249
3,2963,6.7532816
3,3732,6.3486767
3,774,5.9989133
3,104,5.9654512
3,522,5.8019195
3,2557,5.6788177
3,3165,5.350312
3,4088,4.4120727
3,3237,4.379273
3,3737,4.339801
3,25,4.211084
3,4830,4.0216236
3,4359,3.9981499
3,473,3.6842723
3,1164,3.6758132
3,3484,3.4553568
3,1693,3.4428725
3,4825,3.4422636
3,3178,3.4144893
3,2344,3.3947144
3,1729,3.19533
3,3119,3.1498692
3,1093,3.0845351
3,4122,3.0716774
3,5061,3.0652523
3,4942,2.9511573
3,4183,2.9134068
3,4464,2.8678744
3,5855,2.8572998
3,2972,2.8315525
3,1054,2.81301
3,2085,2.7487106
3,2617,2.6508255
3,163,2.612337
3,5605,2.601647
3,1608,2.5737367
3,1487,2.482903
3,901,2.4762015
3,3069,2.4762015
3,2101,2.4466658
3,3136,2.4227483
3,4990,2.4080787
3,2109,2.345014
3,2290,2.3336575
3,393,2.2876153
3,888,2.2742782
35,24,7.917986
35,1489,4.6466947
35,473,4.516173
35,5176,4.162012
35,4610,4.003409
35,1093,3.9114707
35,774,3.711954
35,5747,3.5123136
35,5623,3.3332982
35,1436,3.1541128
35,3136,3.0968633
35,5175,3.0728855
35,880,3.0279589
35,4143,2.9462628
35,3398,2.8668559
35,3474,2.8638997
35,4251,2.8279026
35,1404,2.7597933
35,1361,2.7456274
35,4073,2.5809686
35,4088,2.5147786
35,1152,2.5074248
35,1442,2.4224694
35,5083,2.354231
35,798,2.3522348
35,4634,2.3461375
35,104,2.3396945
35,3086,2.3200908
35,3999,2.138808
35,4463,2.0980942
35,1963,2.0527606
35,2612,2.0377114
35,2933,2.014303
35,5226,1.9931793
35,4683,1.9854581
35,522,1.9712698
35,1702,1.9524572
35,3081,1.929172
35,5292,1.8894576
35,558,1.8892832
35,4432,1.8799775
35,958,1.8645198
35,1940,1.8162599
35,2557,1.8140881
35,2723,1.7950256
35,817,1.793575
35,1411,1.793575
35,837,1.7682614
35,1960,1.7489632
35,5499,1.7373478
276,904,76.53026
276,2085,65.768074
276,5111,36.42216
276,2781,30.849022
276,25,20.619186
276,566,17.368284
276,774,16.215866
276,3620,15.182759
276,45,14.91291
276,5201,14.451426
276,3705,13.923321
276,2109,13.448098
276,4673,13.136351
276,1195,11.937122
276,9,11.482343
276,1144,11.065934
276,4254,10.867075
276,4314,10.840758
276,5605,10.752756
276,4783,10.711653
276,1298,10.567608
276,5571,10.448595
276,3136,10.2659025
276,2417,10.033571
276,686,9.878139
276,3165,9.672374
276,3732,9.627441
276,725,9.607781
276,5241,9.556258
276,4184,8.502081
276,1164,8.435676
276,4143,8.345736
276,4749,8.025399
276,1093,6.877552
276,1840,6.647215
276,1542,6.641203
276,4427,6.574393
276,4294,6.544199
276,41,6.226455
276,4031,6.006176
276,4525,5.9309525
276,2557,5.867104
276,5176,5.8610544
276,522,5.6799235
276,5068,5.645788
276,150,5.56457
276,345,5.5075684
276,5746,5.431444
276,581,5.3445425
276,5341,5.310373
339,3143,58.910976
339,2085,56.52055
339,904,47.155807
339,2781,31.883032
339,5111,27.868002
339,4088,26.138609
339,4673,15.191205
339,4749,14.759326
339,45,14.581454
339,1195,12.841394
339,3705,12.29822
339,566,12.181945
339,4314,11.776543
339,4783,10.832251
339,725,9.939091
339,1298,9.075997
339,2557,8.964977
339,5201,8.703888
339,150,8.280018
339,1356,8.19767
339,1144,8.157097
339,5241,8.039603
339,4254,7.945331
339,686,7.1433845
339,9,7.0964274
339,1442,6.841213
339,4525,6.804714
339,3732,6.769236
339,2612,6.7209935
339,2417,6.5801406
339,4427,6.386011
339,1396,6.3361464
339,5571,6.335211
339,25,6.278873
339,2191,5.9891915
339,180,5.7020426
339,4194,5.376187
339,1840,5.1937647
339,522,5.083787
339,4656,4.625661
339,2344,4.591384
339,5035,4.5109076
339,5341,4.4792037
339,558,4.430395
339,3117,4.308304
339,581,4.301772
339,3165,4.2997212
339,4294,4.285036
339,478,4.187593
339,1798,4.0125084
376,473,14.650326
376,522,13.789477
376,5083,9.353535
376,3398,8.463814
376,24,8.114924
376,4359,7.6344256
376,3101,7.2099853
376,1914,6.880669
376,2344,6.4067144
376,5176,6.2137375
376,904,6.0465555
376,3764,5.858445
376,45,4.3780756
376,934,4.3026953
376,2877,4.26955
376,5168,4.226621
376,104,3.8875036
376,2424,3.793913
376,4184,3.7439442
376,652,3.20464
376,880,3.0322309
376,5222,3.0123205
376,1442,2.932737
376,4845,2.7712092
376,214,2.7273438
376,3457,2.7211494
376,774,2.6980033
376,1178,2.6735835
376,5656,2.6257546
376,4604,2.5834112
376,4073,2.5148225
376,2618,2.2983267
376,4634,2.2981248
376,1961,2.275321
376,4567,2.239403
376,5169,2.2104058
376,798,2.19622
376,2406,2.0669398
376,4088,2.0274053
376,1201,2.0201128
376,4875,2.0039177
376,3480,1.9497211
376,3966,1.9400357
376,5336,1.9337311
376,3651,1.7697737
376,2617,1.7542032
376,4566,1.7438002
376,1924,1.7158966
376,210,1.7041245
376,3700,1.6639894
698,3143,40.634743
698,904,33.470097
698,880,21.885008
698,5111,21.065489
698,2085,15.71483
698,2109,14.08874
698,9,13.024817
698,522,9.160114
698,45,8.544287
698,5360,7.7658596
698,2781,6.9618073
698,2557,6.8346677
698,4464,6.6957664
698,4031,6.506006
698,3705,6.3726707
698,2417,6.092094
698,473,5.9827294
698,2344,5.9301147
698,4543,5.891209
698,25,5.8707495
698,3732,5.380137
698,24,5.135101
698,1093,4.7451973
698,686,4.693253
698,1442,4.4708643
698,566,4.4156218
698,5747,4.202209
698,789,4.173793
698,4355,4.111441
698,1356,4.098831
698,4634,3.9142396
698,774,3.8609123
698,5201,3.8042977
698,3029,3.7534032
698,4673,3.7491336
698,2773,3.6788292
698,1783,3.6785316
698,1756,3.6593337
698,3398,3.58886
698,1164,3.532569
698,2775,3.4905112
698,3474,3.3714008
698,345,3.335248
698,3209,3.2772665
698,857,3.245521
698,250,3.103189
698,5035,3.0379198
698,2101,3.0057712
698,4453,2.9419236
698,604,2.9118779
722,5617,2.3909986
722,2344,1.4501047
722,2381,1.4501047
722,3209,1.2309148
722,2424,1.2309148
722,522,1.2309148
722,757,1.2309148
722,652,1.2309148
722,3101,1.1600838
722,2126,1.1600838
722,45,1.0604409
722,773,0.9847319
722,1546,0.9847319
722,3178,0.9847319
722,1268,0.9847319
722,3737,0.9847319
722,2557,0.7574333
722,2355,0.7574333
722,1739,0.7574333
722,210,0.7574333
722,4220,0.7574333
722,880,0.7574333
722,4464,0.7574333
722,3398,0.7574333
722,490,0.7574333
722,2132,0.7574333
722,566,0.7574333
722,2191,0.7574333
722,4514,0.73854893
722,5241,0.56807494
722,1442,0.56807494
722,138,0.56807494
722,1108,0.56807494
722,262,0.49236596
722,5111,0.37871665
722,4304,0.24618298
722,344,0.18935832
722,2005,0.0
722,1963,0.0
722,1966,0.0
722,2014,0.0
722,1968,0.0
722,1969,0.0
722,1990,0.0
722,2006,0.0
722,1976,0.0
722,2001,0.0
722,2013,0.0
722,1975,0.0
722,1983,0.0
852,1442,16.707714
852,774,14.300782
852,104,11.821026
852,24,9.25467
852,2933,8.197259
852,522,8.118787
852,3165,8.07206
852,5605,7.5937805
852,4717,7.544395
852,2344,7.082063
852,1164,6.6996484
852,25,6.664529
852,3732,6.2197742
852,5169,6.212413
852,3209,5.8862114
852,1404,5.520138
852,4567,4.935976
852,4235,4.532148
852,45,4.492908
852,1775,4.154253
852,1820,3.9030514
852,5833,3.8676503
852,3136,3.867505
852,3064,3.6631727
852,129,3.6532567
852,5656,3.6112738
852,3951,3.573196
852,5398,3.5236309
852,880,3.5096765
852,4543,3.5053058
852,4157,3.4126325
852,2992,3.2904396
852,226,3.289021
852,250,3.2794938
852,4183,3.192967
852,5176,3.1496773
852,3653,3.1424704
852,1637,3.0312977
852,5081,2.9277737
852,2935,2.9109821
852,3330,2.8811216
852,1186,2.7636025
852,2463,2.7052765
852,1395,2.6813288
852,4359,2.6790788
852,473,2.6579528
852,1233,2.6402283
852,3247,2.5802367
852,5062,2.4768157
852,1961,2.401109
926,774,27.596504
926,104,26.148006
926,3732,25.473171
926,3165,24.91263
926,2557,22.208185
926,522,21.873363
926,3136,19.894344
926,4184,15.238101
926,3143,15.21525
926,5605,14.30418
926,904,13.842474
926,25,13.614145
926,2085,12.923794
926,144,11.965462
926,5360,11.553351
926,3999,10.949981
926,2781,10.938543
926,250,10.901041
926,4088,10.778221
926,3209,10.295355
926,3119,9.778019
926,1637,9.197027
926,5111,8.306151
926,24,8.2507515
926,4567,8.213871
926,4717,8.156157
926,1186,7.946047
926,1820,7.8263636
926,566,7.629186
926,1940,7.275482
926,4911,7.172327
926,2344,7.1515226
926,5833,7.1245065
926,4683,6.6799335
926,1302,6.301815
926,5061,6.2898917
926,4143,6.1323323
926,1093,6.127795
926,4241,6.1132116
926,5035,5.974308
926,1783,5.950946
926,5843,5.5594807
926,5855,5.508296
926,5390,5.507582
926,2942,5.3101707
926,1164,5.2450542
926,4783,5.152075
926,1819,5.0670023
926,4364,4.9978905
926,2933,4.9102554
982,2344,25.691204
982,473,18.653145
982,1442,18.200848
982,24,17.711866
982,3732,17.151428
982,45,15.083301
982,1178,10.348451
982,880,9.148603
982,214,7.5920258
982,3764,7.2845755
982,3165,7.0791197
982,1260,6.682598
982,3398,6.4794073
982,798,6.4537544
982,2083,6.430272
982,2557,6.212775
982,4020,5.7888126
982,1093,5.639767
982,652,5.617263
982,714,5.4155083
982,4073,5.402361
982,5176,5.266999
982,2617,5.205661
982,934,5.1952343
982,1902,5.116124
982,3101,5.0984783
982,4359,4.935032
982,1576,4.8156796
982,1373,4.7603354
982,5083,4.7261934
982,4220,4.7051134
982,1546,4.5649858
982,4165,4.557627
982,4123,4.3759446
982,3209,4.375127
982,1201,4.3567553
982,5111,4.2520494
982,2589,4.16315
982,4184,4.1214046
982,104,4.0365973
982,4683,4.0045853
982,2381,3.9868822
982,4543,3.759087
982,4241,3.4544837
982,904,3.4352412
982,907,3.2800756
982,1714,3.2304597
982,900,3.2180872
982,5035,3.1944098
982,440,3.1266289
987,4754,2.529822
987,1693,1.264911
987,1937,1.264911
987,5855,0.0
987,2014,0.0
987,1983,0.0
987,1990,0.0
987,1998,0.0
987,2001,0.0
987,2005,0.0
987,2006,0.0
987,2010,0.0
987,2013,0.0
987,2015,0.0
987,1975,0.0
987,2018,0.0
987,2025,0.0
987,2037,0.0
987,1884,0.0
987,1882,0.0
987,2045,0.0
987,2139,0.0
987,2138,0.0
987,2141,0.0
987,2126,0.0
987,1976,0.0
987,1969,0.0
987,1886,0.0
987,1924,0.0
987,1889,0.0
987,1890,0.0
987,1891,0.0
987,1902,0.0
987,1903,0.0
987,1914,0.0
987,1917,0.0
987,1919,0.0
987,1921,0.0
987,1940,0.0
987,1968,0.0
987,1941,0.0
987,1948,0.0
987,1949,0.0
987,1958,0.0
987,1960,0.0
987,1961,0.0
987,1962,0.0
987,1963,0.0
987,1966,0.0
987,2132,0.0
991,907,8.882419
991,757,8.134888
991,3737,7.945202
991,1733,7.942029
991,3178,7.0824447
991,4097,6.744388
991,4514,6.506997
991,163,6.3317914
991,3732,6.3054967
991,2557,6.20179
991,4990,5.9949317
991,2963,5.959021
991,4232,5.774584
991,5062,5.770385
991,880,5.7622952
991,1693,5.64577
991,4825,5.322664
991,1783,5.288041
991,4198,5.046439
991,4429,4.996894
991,4364,4.9481034
991,1860,4.8177958
991,393,4.75126
991,4543,4.651141
991,2187,4.3378234
991,1442,4.3271165
991,1312,4.207289
991,723,4.1284785
991,1306,4.0522614
991,4830,4.030231
991,447,3.9830403
991,104,3.9525359
991,678,3.8582265
991,1450,3.8173757
991,569,3.679919
991,5683,3.6039238
991,3247,3.5748107
991,4997,3.5309377
991,2513,3.5244122
991,522,3.382156
991,5797,3.3806822
991,2827,3.323637
991,31,3.3183348
991,499,3.2244668
991,5643,3.2095935
991,5226,3.1978471
991,1190,3.1821275
991,4183,3.1586437
991,4088,3.1170363
991,1487,3.109711
1018,45,14.346438
1018,3209,14.267852
1018,5585,6.9020014
1018,1442,5.659049
1018,2463,4.9620557
1018,44,4.484597
1018,880,3.298782
1018,4550,3.1990464
1018,4514,3.1768923
1018,4198,3.1578074
1018,1693,2.9160647
1018,393,2.8307796
1018,262,2.7219038
1018,907,2.6665878
1018,3143,2.6183543
1018,3737,2.594301
1018,4997,2.5823908
1018,5819,2.5214765
1018,832,2.417252
1018,2963,2.4168077
1018,25,2.3940206
1018,2187,2.3490362
1018,5037,2.2763302
1018,4143,2.181595
1018,5062,2.1341596
1018,1819,2.120159
1018,4429,2.117858
1018,3178,2.0691793
1018,4241,2.0514364
1018,5643,2.051323
1018,3732,2.0488086
1018,5697,1.9577262
1018,4543,1.8930247
1018,3647,1.8264596
1018,5259,1.8053952
1018,2434,1.7918794
1018,4541,1.7755522
1018,5031,1.7373657
1018,4003,1.733438
1018,3517,1.725141
1018,3586,1.668962
1018,1870,1.6170706
1018,3455,1.5893024
1018,1891,1.5689291
1018,2089,1.5314097
1018,5153,1.5314097
1018,4990,1.4987853
1018,1783,1.4982603
1018,136,1.4563793
1018,1860,1.4425545
1052,1442,29.039854
1052,774,27.10191
1052,104,21.51154
1052,3165,18.513853
1052,5605,15.856608
1052,1820,15.736336
1052,3136,15.074186
1052,1637,14.064235
1052,4184,11.270706
1052,25,10.254875
1052,250,10.166705
1052,4712,8.622762
1052,1302,8.265274
1052,2325,8.156831
1052,1385,7.916491
1052,3974,7.8570337
1052,5390,7.633345
1052,683,7.630706
1052,3123,7.5607944
1052,522,7.527257
1052,5081,7.2456875
1052,122,7.036901
1052,5169,6.711756
1052,4911,6.536128
1052,5833,6.4689493
1052,2373,6.326195
1052,24,6.055537
1052,596,5.893987
1052,4717,5.456803
1052,5521,5.3813796
1052,3951,5.219375
1052,2557,5.1891756
1052,473,5.002826
1052,2436,4.789035
1052,3999,4.752424
1052,2613,4.6620245
1052,1775,4.604293
1052,1940,4.553923
1052,45,4.361489
1052,2257,4.311225
1052,3703,4.3082314
1052,4683,4.299665
1052,2138,4.290446
1052,1186,4.2026114
1052,3732,4.1714516
1052,5292,4.101124
1052,2622,4.031951
1052,5052,3.9546628
1052,4591,3.9281933
1052,5746,3.807413
1119,4198,3.0185335
1119,4208,2.3775852
1119,3732,2.2560482
1119,2089,2.082866
1119,1886,1.9676758
1119,1450,1.9676758
1119,5275,1.8721384
1119,534,1.4757569
1119,1782,1.4288955
1119,3488,1.3575244
1119,860,1.3575244
1119,3840,1.2917976
1119,907,1.2420468
1119,4429,1.1887926
1119,4232,1.1431164
1119,163,1.1431164
1119,4543,1.0978795
1119,2169,1.0098016
1119,3282,0.92126733
1119,4212,0.9143006
1119,4693,0.8695142
1119,4990,0.86947
1119,5062,0.86935985
1119,1312,0.8356943
1119,292,0.8356943
1119,1188,0.8271528
1119,5797,0.8271528
1119,2403,0.8271528
1119,1940,0.7314405
1119,104,0.69548786
1119,2257,0.69548786
1119,1056,0.69548786
1119,4097,0.6787622
1119,45,0.6682601
1119,1002,0.6675526
1119,2086,0.6395793
1119,2392,0.514614
1119,3737,0.50141656
1119,901,0.49691597
1119,5374,0.49691597
1119,3568,0.49691597
1119,4587,0.49518758
1119,971,0.49518758
1119,4997,0.46790826
1119,1190,0.40239167
1119,199,0.40239167
1119,5625,0.37268698
1119,3405,0.37268698
1119,1961,0.37268698
1119,1422,0.33427772
1140,774,33.433147
1140,5605,32.401726
1140,104,20.688002
1140,3136,20.375423
1140,3165,20.174358
1140,1940,15.966916
1140,25,15.09381
1140,4184,14.403647
1140,1637,13.579455
1140,5169,12.442512
1140,3732,10.79776
1140,5081,10.711016
1140,4235,10.582505
1140,1164,10.32604
1140,61,9.512399
1140,1819,9.130268
1140,3119,9.093025
1140,4712,8.853526
1140,1302,8.360691
1140,4567,8.337191
1140,5521,8.124384
1140,2325,7.8967047
1140,5061,7.7305617
1140,4683,7.6950274
1140,45,7.5086074
1140,2373,7.439191
1140,1385,6.991587
1140,4717,6.807931
1140,3951,6.676446
1140,1404,6.6417933
1140,122,6.342208
1140,522,6.1728635
1140,2942,6.1430893
1140,5833,5.9976044
1140,3974,5.842599
