usuario,hotel_recomendado,hotel_compartido,valor_metrica
3,104,457,1.0
3,104,2513,1.0
3,104,1941,0.9182958340544896
3,104,1783,0.8112781244591328
3,1054,457,1.584962500721156
3,1054,2513,2.0
3,1054,1941,1.9219280948873623
3,1054,1783,1.9219280948873623
3,1093,457,0.0
3,1093,2513,1.0
3,1093,1941,0.9182958340544896
3,1093,1783,0.9182958340544896
3,1164,457,1.0
3,1164,2513,1.584962500721156
3,1164,1941,1.584962500721156
3,1164,1783,1.4591479170272448
3,1442,457,0.0
3,1442,2513,0.0
3,1442,1941,1.5
3,1442,1783,0.7219280948873623
3,1487,457,2.0
3,1487,2513,2.0
3,1487,1941,0.0
3,1487,1783,2.0
3,1608,457,1.584962500721156
3,1608,2513,1.0
3,1608,1941,1.0
3,1608,1783,2.0
3,163,457,2.0
3,163,2513,2.321928094887362
3,163,1941,1.9219280948873623
3,163,1783,2.4056390622295662
3,1693,457,1.0
3,1693,2513,1.584962500721156
3,1693,1941,2.0
3,1693,1783,1.6577427265048887
3,1729,457,1.584962500721156
3,1729,2513,0.9182958340544896
3,1729,1941,1.0
3,1729,1783,1.8423709931771084
3,2085,457,1.584962500721156
3,2085,2513,1.0
3,2085,1941,0.9182958340544896
3,2085,1783,1.5709505944546687
3,2101,457,1.584962500721156
3,2101,2513,0.9182958340544896
3,2101,1941,1.0
3,2101,1783,1.811278124459133
3,2109,457,0.0
3,2109,2513,0.0
3,2109,1941,1.5
3,2109,1783,0.9182958340544896
3,2290,457,0.0
3,2290,2513,0.0
3,2290,1941,1.0
3,2290,1783,0.0
3,2344,457,0.0
3,2344,2513,0.0
3,2344,1941,2.0
3,2344,1783,1.4488156357251847
3,25,457,1.3709505944546687
3,25,2513,0.8112781244591328
3,25,1941,0.0
3,25,1783,1.9219280948873623
3,2557,457,0.0
3,2557,2513,1.0
3,2557,1941,1.0
3,2557,1783,0.9182958340544896
3,2617,457,0.0
3,2617,2513,1.0
3,2617,1941,1.3709505944546687
3,2617,1783,0.9182958340544896
3,2963,457,1.3709505944546687
3,2963,2513,1.7924812503605778
3,2963,1941,1.5
3,2963,1783,1.7219280948873623
3,2972,457,0.8112781244591328
3,2972,2513,1.3709505944546687
3,2972,1941,0.0
3,2972,1783,1.2516291673878228
3,3069,457,0.0
3,3069,2513,0.0
3,3069,1941,0.0
3,3069,1783,0.0
3,3119,457,0.0
3,3119,2513,1.0
3,3119,1941,1.5
3,3119,1783,0.9182958340544896
3,3136,457,0.0
3,3136,2513,1.0
3,3136,1941,0.0
3,3136,1783,1.5219280948873621
3,3165,457,0.0
3,3165,2513,0.0
3,3165,1941,1.3709505944546687
3,3165,1783,1.3709505944546687
3,3178,457,1.584962500721156
3,3178,2513,1.584962500721156
3,3178,1941,1.0
3,3178,1783,1.584962500721156
3,3209,457,2.0
3,3209,2513,2.321928094887362
3,3209,1941,1.584962500721156
3,3209,1783,2.2516291673878226
3,3237,457,2.321928094887362
3,3237,2513,2.321928094887362
3,3237,1941,2.0
3,3237,1783,2.321928094887362
3,3484,457,2.0
3,3484,2513,2.0
3,3484,1941,1.0
3,3484,1783,2.0
3,3732,457,0.0
3,3732,2513,1.0
3,3732,1941,0.8112781244591328
3,3732,1783,0.7219280948873623
3,3737,457,1.584962500721156
3,3737,2513,1.584962500721156
3,3737,1941,1.0
3,3737,1783,1.584962500721156
3,393,457,1.584962500721156
3,393,2513,1.584962500721156
3,393,1941,1.5
3,393,1783,1.9219280948873623
3,4088,457,0.8112781244591328
3,4088,2513,1.3709505944546687
3,4088,1941,0.0
3,4088,1783,1.3787834934861753
3,4122,457,0.0
3,4122,2513,1.0
3,4122,1941,1.5
3,4122,1783,0.9182958340544896
3,4183,457,0.0
3,4183,2513,0.0
3,4183,1941,1.5
3,4183,1783,0.9864267287308424
3,4359,457,0.0
3,4359,2513,1.0
3,4359,1941,1.584962500721156
3,4359,1783,1.4056390622295665
3,4464,457,1.0
3,4464,2513,0.0
3,4464,1941,1.5
3,4464,1783,1.6577427265048887
3,45,457,1.584962500721156
3,45,2513,1.584962500721156
3,45,1941,1.5
3,45,1783,1.7924812503605778
3,473,457,1.584962500721156
3,473,2513,0.9182958340544896
3,473,1941,0.9182958340544896
3,473,1783,1.7527152789797045
3,4825,457,1.584962500721156
3,4825,2513,1.584962500721156
3,4825,1941,2.1280852788913944
3,4825,1783,1.9219280948873623
3,4830,457,1.584962500721156
3,4830,2513,1.584962500721156
3,4830,1941,1.584962500721156
3,4830,1783,1.9219280948873623
3,4942,457,2.321928094887362
3,4942,2513,2.321928094887362
3,4942,1941,2.321928094887362
3,4942,1783,2.321928094887362
3,4990,457,1.0
3,4990,2513,1.584962500721156
3,4990,1941,1.5
3,4990,1783,1.75
3,5061,457,1.0
3,5061,2513,1.584962500721156
3,5061,1941,0.0
3,5061,1783,0.9182958340544896
3,522,457,0.0
3,522,2513,0.0
3,522,1941,0.9182958340544896
3,522,1783,0.7219280948873623
3,5605,457,1.0
3,5605,2513,1.0
3,5605,1941,1.584962500721156
3,5605,1783,1.3709505944546687
