usuario,hotel_recomendado,hotel_compartido,valor_metrica
3,104,457,0.75
3,104,2513,0.75
3,104,1941,0.6363636363636364
3,104,1783,0.5714285714285714
3,1054,457,1.0
3,1054,2513,0.8571428571428571
3,1054,1941,0.7647058823529411
3,1054,1783,0.8823529411764706
3,1093,457,1.0
3,1093,2513,0.625
3,1093,1941,0.6363636363636364
3,1093,1783,0.6363636363636364
3,1164,457,0.75
3,1164,2513,0.6363636363636364
3,1164,1941,0.6363636363636364
3,1164,1783,0.5
3,1442,457,1.0
3,1442,2513,1.0
3,1442,1941,0.5714285714285714
3,1442,1783,0.5294117647058824
3,1487,457,0.8571428571428571
3,1487,2513,0.8571428571428571
3,1487,1941,1.0
3,1487,1783,0.7857142857142857
3,1608,457,0.7272727272727273
3,1608,2513,0.75
3,1608,1941,0.75
3,1608,1783,0.6428571428571429
3,163,457,1.0
3,163,2513,0.8823529411764706
3,163,1941,0.7647058823529411
3,163,1783,0.8333333333333334
3,1693,457,1.0
3,1693,2513,0.8181818181818182
3,1693,1941,0.7857142857142857
3,1693,1783,0.6153846153846154
3,1729,457,0.7272727272727273
3,1729,2513,0.6363636363636364
3,1729,1941,0.75
3,1729,1783,0.5454545454545454
3,2085,457,0.7272727272727273
3,2085,2513,0.75
3,2085,1941,0.7272727272727273
3,2085,1783,0.5714285714285714
3,2101,457,0.7272727272727273
3,2101,2513,0.6363636363636364
3,2101,1941,0.75
3,2101,1783,0.5416666666666666
3,2109,457,1.0
3,2109,2513,1.0
3,2109,1941,0.6428571428571429
3,2109,1783,0.7272727272727273
3,2290,457,1.0
3,2290,2513,1.0
3,2290,1941,0.625
3,2290,1783,1.0
3,2344,457,1.0
3,2344,2513,1.0
3,2344,1941,0.5714285714285714
3,2344,1783,0.5
3,25,457,0.8235294117647058
3,25,2513,0.8571428571428571
3,25,1941,1.0
3,25,1783,0.7647058823529411
3,2557,457,1.0
3,2557,2513,0.625
3,2557,1941,0.75
3,2557,1783,0.6363636363636364
3,2617,457,1.0
3,2617,2513,0.625
3,2617,1941,0.5882352941176471
3,2617,1783,0.7272727272727273
3,2963,457,0.8823529411764706
3,2963,2513,0.8
3,2963,1941,0.6428571428571429
3,2963,1783,0.75
3,2972,457,0.8571428571428571
3,2972,2513,0.7647058823529411
3,2972,1941,1.0
3,2972,1783,0.65
3,3069,457,1.0
3,3069,2513,1.0
3,3069,1941,1.0
3,3069,1783,1.0
3,3119,457,1.0
3,3119,2513,0.625
3,3119,1941,0.6428571428571429
