usuario,hotel_recomendado,hotel_compartido,valor_metrica
3,104,457,0.282842712474619
3,104,2513,0.282842712474619
3,104,1941,0.3464101615137754
3,104,1783,0.4
3,1054,457,0.4242640687119285
3,1054,2513,0.565685424949238
3,1054,1941,0.6324555320336759
3,1054,1783,0.6324555320336759
3,1093,457,0.1414213562373095
3,1093,2513,0.282842712474619
3,1093,1941,0.3464101615137754
3,1093,1783,0.3464101615137754
3,1164,457,0.282842712474619
3,1164,2513,0.4242640687119285
3,1164,1941,0.4242640687119285
3,1164,1783,0.6
3,1442,457,0.1414213562373095
3,1442,2513,0.1414213562373095
3,1442,1941,0.4898979485566356
3,1442,1783,0.4472135954999579
3,1487,457,0.565685424949238
3,1487,2513,0.565685424949238
3,1487,1941,0.1414213562373095
3,1487,1783,0.565685424949238
3,1608,457,0.4242640687119285
3,1608,2513,0.282842712474619
3,1608,1941,0.282842712474619
3,1608,1783,0.565685424949238
3,163,457,0.565685424949238
3,163,2513,0.7071067811865475
3,163,1941,0.6324555320336759
3,163,1783,0.9797958971132712
3,1693,457,0.282842712474619
3,1693,2513,0.4242640687119285
3,1693,1941,0.565685424949238
3,1693,1783,0.848528137423857
3,1729,457,0.4242640687119285
3,1729,2513,0.3464101615137754
3,1729,1941,0.282842712474619
3,1729,1783,0.7483314773547883
3,2085,457,0.4242640687119285
3,2085,2513,0.282842712474619
3,2085,1941,0.3464101615137754
3,2085,1783,0.8944271909999159
3,2101,457,0.4242640687119285
3,2101,2513,0.3464101615137754
3,2101,1941,0.282842712474619
3,2101,1783,0.8
3,2109,457,0.1414213562373095
3,2109,2513,0.1414213562373095
3,2109,1941,0.4898979485566356
3,2109,1783,0.3464101615137754
3,2290,457,0.1414213562373095
3,2290,2513,0.1414213562373095
3,2290,1941,0.282842712474619
3,2290,1783,0.1414213562373095
3,2344,457,0.1414213562373095
3,2344,2513,0.1414213562373095
3,2344,1941,0.565685424949238
3,2344,1783,0.648074069840786
3,25,457,0.5477225575051661
3,25,2513,0.4
3,25,1941,0.1414213562373095
3,25,1783,0.6324555320336759
3,2557,457,0.1414213562373095
3,2557,2513,0.282842712474619
3,2557,1941,0.282842712474619
3,2557,1783,0.3464101615137754
3,2617,457,0.1414213562373095
3,2617,2513,0.282842712474619
3,2617,1941,0.5477225575051661
3,2617,1783,0.3464101615137754
3,2963,457,0.5477225575051661
