usuario,hotel_recomendado,hotel_compartido,valor_metrica
276,1093,3165,0.008412197686645636
276,1093,104,0.012618296529968454
276,1093,3732,0.012618296529968454
276,1093,904,0.006309148264984227
276,1093,1164,0.008412197686645636
276,1093,880,0.012618296529968454
276,1093,3136,0.006309148264984227
276,1093,45,0.014721345951629864
276,1093,5746,0.002103049421661409
276,1093,522,0.012618296529968454
276,1093,774,0.014721345951629864
276,1093,25,0.012618296529968454
276,1093,5605,0.006309148264984227
276,1093,1442,0.01892744479495268
276,1093,2557,0.016824395373291272
276,1093,4184,0.008412197686645636
276,1093,3143,0.006309148264984227
276,1093,4143,0.010515247108307046
276,1093,4326,0.002103049421661409
276,1093,4088,0.004206098843322818
276,1093,566,0.004206098843322818
276,1093,5111,0.002103049421661409
276,1093,5360,0.002103049421661409
276,1093,2085,0.002103049421661409
276,1093,4749,0.002103049421661409
276,1144,4783,0.015267175572519083
276,1144,3143,0.010178117048346057
276,1144,4427,0.015267175572519083
276,1144,1298,0.010178117048346057
276,1144,5360,0.015267175572519083
276,1144,345,0.010178117048346057
276,1144,2109,0.010178117048346057
276,1144,5241,0.010178117048346057
276,1144,4254,0.010178117048346057
276,1144,566,0.010178117048346057
276,1144,5176,0.010178117048346057
276,1144,45,0.015267175572519083
276,1144,1356,0.015267175572519083
276,1144,2781,0.015267175572519083
276,1144,1195,0.010178117048346057
276,1144,5571,0.015267175572519083
276,1144,522,0.010178117048346057
276,1144,1164,0.005089058524173028
276,1144,5111,0.015267175572519083
276,1144,4673,0.015267175572519083
276,1144,3620,0.010178117048346057
276,1144,2085,0.010178117048346057
276,1144,2557,0.010178117048346057
276,1144,4088,0.015267175572519083
276,1144,5201,0.015267175572519083
276,1144,5341,0.010178117048346057
276,1144,3732,0.015267175572519083
276,1144,9,0.015267175572519083
276,1144,880,0.015267175572519083
276,1144,3705,0.015267175572519083
276,1144,904,0.010178117048346057
276,1144,4525,0.010178117048346057
276,1144,686,0.010178117048346057
276,1144,1542,0.010178117048346057
276,1144,1840,0.010178117048346057
276,1144,41,0.005089058524173028
276,1144,725,0.005089058524173028
276,1144,150,0.010178117048346057
276,1144,1442,0.005089058524173028
276,1144,25,0.010178117048346057
276,1144,4749,0.010178117048346057
276,1144,4314,0.010178117048346057
276,1144,581,0.005089058524173028
276,1144,4294,0.005089058524173028
276,1144,4031,0.005089058524173028
276,1144,104,0.005089058524173028
276,1144,2417,0.005089058524173028
276,1164,3732,0.006939625260235947
276,1164,774,0.006939625260235947
276,1164,25,0.008327550312283136
276,1164,3165,0.008327550312283136
276,1164,104,0.008327550312283136
276,1164,4143,0.0013879250520471894
276,1164,3136,0.006939625260235947
276,1164,2557,0.006939625260235947
276,1164,522,0.008327550312283136
276,1164,4184,0.005551700208188758
276,1164,1442,0.008327550312283136
276,1164,5605,0.005551700208188758
276,1164,45,0.005551700208188758
276,1164,4088,0.004163775156141568
276,1164,3143,0.004163775156141568
276,1164,2085,0.002775850104094379
276,1164,5360,0.002775850104094379
276,1164,904,0.002775850104094379
276,1164,880,0.004163775156141568
276,1164,5746,0.0013879250520471894
276,1164,1093,0.002775850104094379
276,1164,686,0.0013879250520471894
276,1164,41,0.0013879250520471894
276,1164,4314,0.0013879250520471894
276,1164,4783,0.0013879250520471894
276,1164,725,0.0013879250520471894
276,1164,1195,0.0013879250520471894
276,1164,4673,0.0013879250520471894
276,1164,2417,0.0013879250520471894
276,1164,4749,0.0013879250520471894
276,1164,2781,0.0013879250520471894
276,1164,1356,0.0013879250520471894
276,1164,5571,0.0013879250520471894
276,1164,4254,0.0013879250520471894
276,1164,1298,0.0013879250520471894
276,1164,5111,0.0013879250520471894
276,1164,5201,0.0013879250520471894
276,1164,345,0.0013879250520471894
276,1164,566,0.0013879250520471894
276,1164,2109,0.0013879250520471894
276,1195,4783,0.00909090909090909
276,1195,522,0.00909090909090909
276,1195,2109,0.00909090909090909
276,1195,2781,0.013636363636363636
276,1195,725,0.00909090909090909
276,1195,2417,0.004545454545454545
276,1195,3136,0.004545454545454545
276,1195,4254,0.013636363636363636
276,1195,3705,0.013636363636363636
276,1195,686,0.013636363636363636
276,1195,9,0.00909090909090909
276,1195,1144,0.013636363636363636
276,1195,904,0.013636363636363636
276,1195,4749,0.013636363636363636
276,1195,1442,0.00909090909090909
276,1195,3620,0.013636363636363636
276,1195,5571,0.013636363636363636
276,1195,880,0.013636363636363636
276,1195,150,0.013636363636363636
276,1195,41,0.013636363636363636
276,1195,4427,0.013636363636363636
276,1195,3732,0.00909090909090909
276,1195,4673,0.013636363636363636
276,1195,3165,0.00909090909090909
276,1195,3143,0.013636363636363636
276,1195,2085,0.00909090909090909
276,1195,5111,0.013636363636363636
276,1195,4314,0.013636363636363636
276,1195,5360,0.013636363636363636
276,1195,566,0.00909090909090909
276,1195,1356,0.013636363636363636
276,1195,104,0.004545454545454545
276,1195,5241,0.013636363636363636
276,1195,558,0.004545454545454545
276,1195,4088,0.013636363636363636
276,1195,5201,0.00909090909090909
276,1195,4031,0.004545454545454545
276,1195,1542,0.004545454545454545
276,1195,25,0.004545454545454545
276,1195,1840,0.004545454545454545
276,1195,2557,0.004545454545454545
276,1195,1298,0.00909090909090909
276,1195,4525,0.004545454545454545
276,1195,45,0.004545454545454545
276,1195,5176,0.004545454545454545
276,1195,345,0.004545454545454545
276,1298,4184,0.005649717514124294
276,1298,3732,0.022598870056497175
276,1298,522,0.022598870056497175
276,1298,880,0.022598870056497175
276,1298,3165,0.01694915254237288
276,1298,104,0.011299435028248588
276,1298,45,0.022598870056497175
276,1298,774,0.011299435028248588
276,1298,1164,0.011299435028248588
276,1298,3136,0.01694915254237288
276,1298,1144,0.011299435028248588
276,1298,4673,0.011299435028248588
276,1298,725,0.011299435028248588
