usuario,hotel_recomendado,hotel_compartido,valor_metrica
276,1093,3165,4.0
276,1093,104,6.0
276,1093,3732,6.0
276,1093,904,3.0
276,1093,1164,4.0
276,1093,880,6.0
276,1093,3136,3.0
276,1093,45,7.0
276,1093,5746,1.0
276,1093,522,6.0
276,1093,774,7.0
276,1093,25,6.0
276,1093,5605,3.0
276,1093,1442,9.0
276,1093,2557,8.0
276,1093,4184,4.0
276,1093,3143,3.0
276,1093,4143,5.0
276,1093,4326,1.0
276,1093,4088,2.0
276,1093,566,2.0
276,1093,5111,1.0
276,1093,5360,1.0
276,1093,2085,1.0
276,1093,4749,1.0
276,1144,4783,3.0
276,1144,3143,2.0
276,1144,4427,3.0
276,1144,1298,2.0
276,1144,5360,3.0
276,1144,345,2.0
276,1144,2109,2.0
276,1144,5241,2.0
276,1144,4254,2.0
276,1144,566,2.0
276,1144,5176,2.0
276,1144,45,3.0
276,1144,1356,3.0
276,1144,2781,3.0
276,1144,1195,2.0
276,1144,5571,3.0
276,1144,522,2.0
276,1144,1164,1.0
276,1144,5111,3.0
276,1144,4673,3.0
276,1144,3620,2.0
276,1144,2085,2.0
276,1144,2557,2.0
276,1144,4088,3.0
276,1144,5201,3.0
276,1144,5341,2.0
276,1144,3732,3.0
276,1144,9,3.0
276,1144,880,3.0
276,1144,3705,3.0
276,1144,904,2.0
276,1144,4525,2.0
276,1144,686,2.0
276,1144,1542,2.0
276,1144,1840,2.0
276,1144,41,1.0
276,1144,725,1.0
276,1144,150,2.0
276,1144,1442,1.0
276,1144,25,2.0
276,1144,4749,2.0
276,1144,4314,2.0
276,1144,581,1.0
276,1144,4294,1.0
276,1144,4031,1.0
276,1144,104,1.0
276,1144,2417,1.0
276,1164,3732,5.0
276,1164,774,5.0
276,1164,25,6.0
276,1164,3165,6.0
276,1164,104,6.0
276,1164,4143,1.0
276,1164,3136,5.0
276,1164,2557,5.0
276,1164,522,6.0
276,1164,4184,4.0
276,1164,1442,6.0
276,1164,5605,4.0
276,1164,45,4.0
276,1164,4088,3.0
276,1164,3143,3.0
276,1164,2085,2.0
276,1164,5360,2.0
276,1164,904,2.0
276,1164,880,3.0
276,1164,5746,1.0
276,1164,1093,2.0
276,1164,686,1.0
276,1164,41,1.0
276,1164,4314,1.0
276,1164,4783,1.0
276,1164,725,1.0
276,1164,1195,1.0
276,1164,4673,1.0
276,1164,2417,1.0
276,1164,4749,1.0
276,1164,2781,1.0
276,1164,1356,1.0
276,1164,5571,1.0
276,1164,4254,1.0
276,1164,1298,1.0
276,1164,5111,1.0
276,1164,5201,1.0
276,1164,345,1.0
276,1164,566,1.0
276,1164,2109,1.0
276,1195,4783,2.0
276,1195,522,2.0
276,1195,2109,2.0
276,1195,2781,3.0
276,1195,725,2.0
276,1195,2417,1.0
276,1195,3136,1.0
276,1195,4254,3.0
276,1195,3705,3.0
276,1195,686,3.0
276,1195,9,2.0
276,1195,1144,3.0
276,1195,904,3.0
276,1195,4749,3.0
276,1195,1442,2.0
276,1195,3620,3.0
276,1195,5571,3.0
276,1195,880,3.0
276,1195,150,3.0
276,1195,41,3.0
276,1195,4427,3.0
276,1195,3732,2.0
276,1195,4673,3.0
276,1195,3165,2.0
276,1195,3143,3.0
276,1195,2085,2.0
276,1195,5111,3.0
276,1195,4314,3.0
276,1195,5360,3.0
276,1195,566,2.0
276,1195,1356,3.0
276,1195,104,1.0
276,1195,5241,3.0
276,1195,558,1.0
276,1195,4088,3.0
