usuario,hotel_recomendado,hotel_compartido,valor_metrica
376,104,473,10.0
376,104,880,10.0
376,104,45,10.0
376,104,4359,10.0
376,104,5176,10.0
376,104,522,9.0
376,104,904,8.8
376,104,774,10.0
376,104,2344,8.8
376,104,3398,10.0
376,104,1442,8.833333333333334
376,104,4088,10.0
376,104,3101,10.0
376,104,4073,10.0
376,104,3764,10.0
376,104,2617,10.0
376,104,4634,10.0
376,104,24,9.0
376,104,3806,8.25
376,104,5083,10.0
376,104,4184,10.0
376,104,798,10.0
376,104,214,10.0
376,104,1260,7.333333333333333
376,104,934,10.0
376,104,4604,10.0
376,104,1914,10.0
376,104,4845,10.0
376,104,2406,10.0
376,104,3457,10.0
376,104,2083,8.0
376,104,2424,10.0
376,104,1924,7.0
376,104,1178,10.0
376,104,3700,6.5
376,104,2877,10.0
376,104,5168,10.0
376,104,4567,10.0
376,1178,3398,10.0
376,1178,104,8.6
376,1178,798,10.0
376,1178,214,10.0
376,1178,774,10.0
376,1178,5169,10.0
376,1178,473,8.0
376,1178,24,8.0
376,1178,2083,8.0
376,1178,5176,8.0
376,1178,4184,9.0
376,1178,4845,8.333333333333334
376,1178,1260,6.0
376,1178,2617,10.0
376,1178,4359,10.0
376,1178,4567,8.333333333333334
376,1178,2344,8.285714285714286
376,1178,3806,7.666666666666667
376,1178,3764,10.0
376,1178,3101,10.0
376,1178,934,10.0
376,1178,880,8.833333333333334
376,1178,4634,10.0
376,1178,45,10.0
376,1178,1442,8.0
376,1178,5083,6.666666666666667
376,1178,4088,10.0
376,1178,4073,10.0
376,1178,522,8.5
376,1178,1914,10.0
376,1178,904,10.0
376,1178,5656,10.0
376,1178,5168,10.0
376,1178,3700,6.5
376,1178,2424,10.0
376,1201,4184,10.0
376,1201,45,8.0
376,1201,24,10.0
376,1201,2424,10.0
376,1201,522,6.6
376,1201,4088,10.0
376,1201,1260,8.0
376,1201,798,10.0
376,1201,214,10.0
376,1201,2083,8.5
376,1201,3764,10.0
376,1201,3398,8.75
376,1201,934,10.0
376,1201,3101,10.0
376,1201,880,10.0
376,1201,2344,10.0
376,1201,4634,8.8
376,1201,904,10.0
376,1201,5168,10.0
376,1201,3806,8.25
376,1201,104,10.0
376,1201,5083,10.0
376,1201,473,10.0
376,1201,1914,10.0
376,1201,4359,10.0
376,1201,774,10.0
376,1201,1442,10.0
376,1201,1178,10.0
376,1201,4073,10.0
376,1201,5176,10.0
376,1201,2617,10.0
376,1201,2589,7.0
376,1201,4845,10.0
376,1201,3700,10.0
376,1442,5169,10.0
376,1442,4567,8.75
376,1442,774,9.444444444444445
376,1442,904,10.0
376,1442,2344,9.25
376,1442,104,9.142857142857142
376,1442,4184,10.0
376,1442,5168,10.0
