usuario,hotel_recomendado,hotel_compartido,valor_metrica
3,104,473,8.0
3,104,4464,4.0
3,104,45,14.0
3,104,2085,6.0
3,104,4359,8.0
3,104,522,12.0
3,104,774,14.0
3,104,2344,8.0
3,104,2109,6.0
3,104,25,10.0
3,104,3732,12.0
3,104,1442,12.0
3,104,2557,14.0
3,104,4088,6.0
3,104,2617,6.0
3,104,4122,2.0
3,104,1729,4.0
3,104,3119,8.0
3,104,1164,6.0
3,104,3136,10.0
3,104,3165,8.0
3,104,3209,2.0
3,104,907,2.0
3,104,1783,2.0
3,104,5605,6.0
3,104,4183,4.0
3,104,1093,2.0
3,104,5061,4.0
3,1054,1693,8.0
3,1054,45,12.0
3,1054,4990,12.0
3,1054,1783,10.0
3,1054,104,8.0
3,1054,907,8.0
3,1054,522,10.0
3,1054,2963,6.0
3,1054,3732,10.0
3,1054,1442,10.0
3,1054,3737,10.0
3,1054,2557,8.0
3,1054,2344,4.0
3,1054,457,6.0
3,1054,393,10.0
3,1054,4830,8.0
3,1054,3178,8.0
3,1054,774,6.0
3,1054,3209,10.0
3,1054,2513,8.0
3,1054,4088,2.0
3,1054,1164,2.0
3,1054,163,2.0
3,1054,4825,4.0
3,1054,3484,4.0
3,1054,1093,2.0
3,1054,473,2.0
3,1054,2617,2.0
3,1054,5605,2.0
3,1054,4122,2.0
3,1054,2109,2.0
3,1054,1487,2.0
3,1093,3165,8.0
3,1093,104,12.0
3,1093,3732,12.0
3,1093,1164,8.0
3,1093,5061,4.0
3,1093,3209,6.0
3,1093,473,2.0
3,1093,3136,6.0
3,1093,45,14.0
3,1093,522,12.0
3,1093,4183,4.0
3,1093,774,14.0
3,1093,25,12.0
3,1093,5605,6.0
3,1093,3119,8.0
3,1093,1442,18.0
3,1093,1783,8.0
3,1093,2557,16.0
3,1093,2344,10.0
3,1093,907,4.0
3,1093,4464,4.0
3,1093,4088,4.0
3,1093,2101,2.0
3,1093,4122,2.0
3,1093,4830,2.0
3,1093,2085,2.0
3,1164,3119,10.0
3,1164,3732,12.0
3,1164,774,14.0
3,1164,25,14.0
3,1164,3165,14.0
3,1164,104,14.0
3,1164,3136,12.0
3,1164,2557,10.0
3,1164,522,12.0
3,1164,1442,14.0
3,1164,5605,12.0
3,1164,45,8.0
3,1164,473,8.0
3,1164,4183,6.0
3,1164,4088,8.0
3,1164,2085,4.0
3,1164,5061,2.0
3,1164,3209,4.0
3,1164,5855,4.0
3,1164,1783,2.0
3,1164,2344,8.0
3,1164,1093,4.0
3,1164,2109,2.0
3,1164,1608,2.0
3,1442,25,8.0
3,1442,2557,14.0
3,1442,774,14.0
3,1442,5605,4.0
3,1442,3165,10.0
3,1442,3136,8.0
3,1442,2344,14.0
3,1442,3119,4.0
3,1442,104,10.0
3,1442,3732,14.0
3,1442,4183,4.0
