usuario,hotel_recomendado,hotel_compartido,valor_metrica
276,1093,1442,0.7317073170731707
276,1093,4326,0.5
276,1093,3143,0.7058823529411765
276,1093,104,0.5957446808510638
276,1093,1356,0.8421052631578947
276,1093,3438,0.8947368421052632
276,1093,558,0.7
276,1093,5360,0.7407407407407407
276,1093,592,0.8148148148148148
276,1093,4656,0.7
276,1093,880,0.6764705882352942
276,1093,4088,0.6296296296296297
276,1144,1442,0.6842105263157895
276,1144,4326,0.9473684210526315
276,1144,3143,0.8085106382978723
276,1144,104,0.5849056603773585
276,1144,1356,0.7941176470588235
276,1144,3438,0.9705882352941176
276,1144,558,0.8518518518518519
276,1144,5360,0.7627118644067796
276,1144,592,1.0
276,1144,4656,0.7647058823529411
276,1144,880,0.9259259259259259
276,1144,4088,0.8823529411764706
276,1164,1442,0.631578947368421
276,1164,4326,0.8529411764705882
276,1164,3143,0.7966101694915254
276,1164,104,0.6808510638297872
276,1164,1356,0.6382978723404256
276,1164,3438,0.8529411764705882
276,1164,558,0.7894736842105263
276,1164,5360,0.7966101694915254
276,1164,592,0.9259259259259259
276,1164,4656,0.7777777777777778
276,1164,880,1.0
276,1164,4088,0.5957446808510638
276,1195,1442,0.8947368421052632
276,1195,4326,0.8148148148148148
276,1195,3143,0.8823529411764706
276,1195,104,0.6415094339622641
276,1195,1356,0.7407407407407407
276,1195,3438,0.926829268292683
276,1195,558,0.8888888888888888
276,1195,5360,0.9024390243902439
276,1195,592,1.0
276,1195,4656,0.8235294117647058
276,1195,880,1.0
276,1195,4088,0.7407407407407407
276,1298,1442,0.6829268292682927
276,1298,4326,0.7872340425531915
276,1298,3143,0.8260869565217391
276,1298,104,0.6779661016949152
276,1298,1356,0.8235294117647058
276,1298,3438,0.9152542372881356
276,1298,558,0.9024390243902439
276,1298,5360,0.8131868131868132
276,1298,592,0.9787234042553191
276,1298,4656,0.6813186813186813
276,1298,880,0.8823529411764706
276,1298,4088,0.9117647058823529
276,150,1442,0.7894736842105263
276,150,4326,0.6764705882352942
276,150,3143,0.8085106382978723
276,150,104,1.0
276,150,1356,0.7647058823529411
276,150,3438,0.9629629629629629
276,150,558,0.8421052631578947
276,150,5360,0.6610169491525424
276,150,592,0.7804878048780488
276,150,4656,0.4528301886792453
276,150,880,0.8888888888888888
276,150,4088,0.8518518518518519
276,1542,1442,0.7777777777777778
276,1542,4326,0.7037037037037037
276,1542,104,0.7560975609756098
276,1542,3143,0.7796610169491526
276,1542,1356,0.7288135593220338
276,1542,3438,0.8529411764705882
276,1542,558,0.7894736842105263
276,1542,5360,0.851063829787234
276,1542,592,0.8888888888888888
276,1542,4656,0.7352941176470589
276,1542,880,0.8780487804878049
276,1542,4088,0.765625
276,1840,1442,0.631578947368421
276,1840,4326,0.9473684210526315
276,1840,3143,1.0
276,1840,104,0.9473684210526315
276,1840,1356,1.0
276,1840,3438,0.9705882352941176
276,1840,558,0.8518518518518519
276,1840,5360,0.8292682926829268
276,1840,592,0.8235294117647058
276,1840,4656,0.8518518518518519
276,1840,880,0.6829268292682927
276,1840,4088,0.9259259259259259
276,2085,1442,0.5853658536585366
276,2085,4326,0.8518518518518519
276,2085,3143,0.8
276,2085,104,0.6027397260273972
276,2085,1356,0.75
276,2085,3438,0.9705882352941176
276,2085,558,0.8518518518518519
276,2085,5360,0.7792207792207793
276,2085,592,0.8292682926829268
276,2085,4656,0.5932203389830508
276,2085,880,0.8780487804878049
276,2085,4088,0.7391304347826086
276,2109,1442,0.7894736842105263
276,2109,4326,0.671875
276,2109,3143,0.9148936170212766
276,2109,104,0.6764705882352942
276,2109,1356,1.0
276,2109,3438,0.864406779661017
276,2109,558,0.8823529411764706
276,2109,5360,0.9361702127659575
276,2109,592,0.9512195121951219
276,2109,4656,0.7872340425531915
276,2109,880,0.8823529411764706
276,2109,4088,0.7647058823529411
276,2417,1442,0.8947368421052632
276,2417,4326,0.9259259259259259
276,2417,3143,0.8780487804878049
276,2417,104,0.7647058823529411
276,2417,1356,1.0
276,2417,3438,0.9361702127659575
276,2417,558,0.7659574468085106
276,2417,5360,0.9148936170212766
276,2417,592,0.9148936170212766
276,2417,4656,0.8292682926829268
276,2417,880,1.0
276,2417,4088,1.0
276,25,1442,0.6666666666666666
276,25,4326,1.0
276,25,3143,0.7058823529411765
276,25,104,0.5319148936170213
276,25,1356,0.7058823529411765
276,25,3438,1.0
276,25,558,0.0
276,25,5360,0.6666666666666666
276,25,592,1.0
276,25,4656,0.0
276,25,880,0.8421052631578947
276,25,4088,0.5609756097560976
276,2557,1442,0.5853658536585366
276,2557,4326,0.7894736842105263
276,2557,3143,0.7777777777777778
276,2557,104,0.8421052631578947
276,2557,1356,0.8421052631578947
276,2557,3438,1.0
276,2557,558,0.0
276,2557,5360,1.0
276,2557,592,0.7894736842105263
276,2557,4656,0.0
276,2557,880,0.6764705882352942
276,2557,4088,0.6296296296296297
276,2781,1442,0.8518518518518519
276,2781,4326,0.9473684210526315
276,2781,3143,0.8301886792452831
276,2781,104,0.65625
276,2781,1356,0.8048780487804879
276,2781,3438,0.975609756097561
276,2781,558,0.8823529411764706
276,2781,5360,0.864406779661017
276,2781,592,1.0
276,2781,4656,0.8823529411764706
276,2781,880,0.9117647058823529
276,2781,4088,0.8780487804878049
276,3136,1442,0.5588235294117647
276,3136,4326,1.0
276,3136,3143,0.7647058823529411
276,3136,104,0.6097560975609756
276,3136,1356,0.7647058823529411
276,3136,3438,1.0
276,3136,558,0.0
276,3136,5360,0.6176470588235294
276,3136,592,1.0
276,3136,4656,0.6
276,3136,880,0.8421052631578947
276,3136,4088,0.6585365853658537
276,3165,1442,0.7317073170731707
276,3165,4326,0.8048780487804879
276,3165,3143,0.8113207547169812
276,3165,104,0.660377358490566
276,3165,1356,0.6764705882352942
276,3165,3438,0.8536585365853658
276,3165,558,0.8148148148148148
276,3165,5360,0.7735849056603774
276,3165,592,0.9024390243902439
276,3165,4656,0.6585365853658537
276,3165,880,0.7777777777777778
276,3165,4088,0.7407407407407407
276,345,1442,0.8148148148148148
276,345,4326,0.7446808510638298
276,345,3143,0.9148936170212766
276,345,104,0.7647058823529411
276,345,1356,1.0
276,345,3438,0.9574468085106383
276,345,558,0.9117647058823529
276,345,5360,0.9574468085106383
276,345,592,0.9787234042553191
276,345,4656,0.7804878048780488
276,345,880,0.8888888888888888
276,345,4088,1.0
276,3620,1442,0.7647058823529411
276,3620,4326,0.7446808510638298
