usuario,hotel_recomendado,hotel_compartido,valor_metrica
35,104,4326,0.908465248289621
35,104,5767,0.7076553232957626
35,104,2344,0.8472604135045221
35,104,2989,0.885450400109857
35,1093,4326,0.8401498110374593
35,1093,5767,1.0
35,1093,2344,1.0
35,1093,2989,0.8656392231763174
35,1152,4326,1.0
35,1152,5767,1.0
35,1152,2344,0.8389776660073724
35,1152,2989,0.797232348063715
35,1361,4326,0.933579955310489
35,1361,5767,0.7609096232928763
35,1361,2344,0.8166524211685232
35,1361,2989,0.8108023317251566
35,1404,4326,1.0
35,1404,5767,0.7076553232957626
35,1404,2344,1.0
35,1404,2989,0.7609096232928763
35,1411,4326,0.9373691761066303
35,1411,5767,1.0
35,1411,2344,0.85786844124691
35,1411,2989,0.9373691761066303
35,1436,4326,0.9290814371994273
35,1436,5767,1.0
35,1436,2344,0.8389776660073724
35,1436,2989,0.9290814371994273
35,1442,4326,0.8403030283801005
35,1442,5767,0.7076553232957626
35,1442,2344,0.8037213937324477
35,1442,2989,0.7396673768007592
35,1489,4326,0.8401498110374593
35,1489,5767,1.0
35,1489,2344,0.6928998152559478
35,1489,2989,0.8401498110374593
35,1702,4326,0.933579955310489
35,1702,2344,0.774487192150212
35,1702,5767,1.0
35,1702,2989,0.8160760013970175
35,1940,4326,0.9195495553061589
35,1940,5767,0.7076553232957626
35,1940,2344,0.8389776660073724
35,1940,2989,0.8341141077193078
35,1960,4326,1.0
35,1960,5767,1.0
35,1960,2344,0.8389776660073724
35,1960,2989,0.9942646540427001
35,1963,4326,0.8986776544421418
35,1963,5767,1.0
35,1963,2344,0.8658027373686839
35,1963,2989,0.9290814371994273
35,24,4326,0.908465248289621
35,24,5767,1.0
35,24,2344,0.7698986984637216
35,24,2989,0.8808251803598827
35,2557,4326,0.8597186998521972
35,2557,5767,0.7609096232928763
35,2557,2344,1.0
35,2557,2989,0.7396673768007592
35,2612,4326,0.9226271059191403
35,2612,5767,1.0
35,2612,2344,0.910876222013499
35,2612,2989,0.9323665287394267
35,2723,4326,0.9913646294746149
35,2723,5767,1.0
35,2723,2344,0.9942646540427001
35,2723,2989,0.8395111689006978
35,2933,4326,0.8597186998521972
35,2933,5767,0.6928998152559478
35,2933,2344,1.0
35,2933,2989,0.8597186998521972
35,3081,4326,0.8160760013970175
35,3081,5767,1.0
35,3081,2344,0.7603739868614454
35,3081,2989,0.933579955310489
35,3086,4326,1.0
35,3086,5767,0.0
35,3086,2344,1.0
35,3086,2989,0.8341141077193078
35,3136,4326,1.0
35,3136,5767,0.6907700731340152
35,3136,2344,0.7076553232957626
35,3136,2989,0.7609096232928763
35,3398,4326,0.908465248289621
35,3398,2344,0.7979168917078058
35,3398,5767,1.0
35,3398,2989,0.8808251803598827
35,3474,4326,0.9259713562282996
35,3474,5767,0.0
35,3474,2344,0.9299817480463239
35,3474,2989,1.0
35,3999,4326,0.933579955310489
35,3999,5767,0.7076553232957626
35,3999,2344,0.9044291982982916
35,3999,2989,0.9226271059191403
35,4073,4326,1.0
35,4073,5767,1.0
35,4073,2344,0.8299250769438711
35,4073,2989,0.9344461357004794
35,4088,4326,1.0
35,4088,5767,1.0
35,4088,2344,0.6928998152559478
35,4088,2989,0.7609096232928763
35,4143,4326,0.8597186998521972
35,4143,5767,0.7609096232928763
35,4143,2344,1.0
35,4143,2989,0.7396673768007592
35,4251,4326,0.9290814371994273
35,4251,5767,1.0
35,4251,2344,0.7743787950430012
35,4251,2989,0.8133034314694689
35,4432,4326,0.9069783029220916
35,4432,5767,1.0
35,4432,2344,0.8620679334210629
35,4432,2989,0.933579955310489
35,4463,4326,0.923622470999995
35,4463,5767,0.7609096232928763
35,4463,2344,0.8299250769438711
35,4463,2989,0.923622470999995
35,4610,4326,0.9243710230888972
35,4610,5767,1.0
35,4610,2344,0.8166524211685232
35,4610,2989,0.9243710230888972
35,4634,4326,1.0
35,4634,5767,1.0
35,4634,2344,0.7380487420225963
35,4634,2989,0.9942646540427001
35,4683,4326,0.923622470999995
35,4683,5767,0.7076553232957626
35,4683,2344,0.9290814371994273
35,4683,2989,0.9913646294746149
35,473,4326,0.908465248289621
35,473,5767,1.0
35,473,2344,0.7698986984637216
35,473,2989,0.8808251803598827
35,5083,4326,0.8403030283801005
35,5083,5767,1.0
35,5083,2344,1.0
35,5083,2989,0.8403030283801005
35,5175,4326,0.9069783029220916
35,5175,5767,1.0
35,5175,2344,0.8703503512492088
35,5175,2989,0.923622470999995
35,5176,4326,0.9226271059191403
35,5176,5767,1.0
35,5176,2344,0.8166524211685232
35,5176,2989,0.7759597815770107
35,522,4326,0.908465248289621
35,522,5767,0.7609096232928763
35,522,2344,0.850834274847108
35,522,2989,0.908465248289621
35,5226,4326,0.9913646294746149
35,5226,5767,1.0
35,5226,2344,0.9305419211873026
35,5226,2989,0.9909274328465879
35,5292,4326,0.9243710230888972
35,5292,5767,0.7076553232957626
35,5292,2344,0.8527411367856936
35,5292,2989,0.9067647973238231
35,5499,4326,0.933579955310489
35,5499,5767,1.0
35,5499,2344,0.7698986984637216
35,5499,2989,0.8160760013970175
35,558,4326,1.0
35,558,5767,1.0
35,558,2344,1.0
35,558,2989,1.0
35,5623,4326,0.923622470999995
35,5623,5767,0.7609096232928763
35,5623,2344,0.976119519735876
35,5623,2989,0.923622470999995
35,5747,4326,0.8403030283801005
35,5747,5767,1.0
35,5747,2344,0.6928998152559478
35,5747,2989,0.8403030283801005
35,774,4326,1.0
35,774,2344,1.0
35,774,5767,0.7076553232957626
35,774,2989,1.0
35,798,4326,0.9226271059191403
35,798,5767,1.0
35,798,2344,0.7979168917078058
35,798,2989,0.9323665287394267
35,817,4326,0.908465248289621
35,817,5767,1.0
35,817,2344,0.8239560888032269
35,817,2989,0.9373691761066303
35,837,4326,0.908465248289621
35,837,5767,1.0
35,837,2344,0.9373691761066303
35,837,2989,0.7524401892055531
35,880,4326,0.8403030283801005
35,880,5767,1.0
35,880,2344,0.8597186998521972
35,880,2989,0.8597186998521972
35,958,4326,0.9069783029220916
35,958,5767,1.0
35,958,2344,0.8869177668029599
35,958,2989,0.933579955310489
