usuario,hotel_recomendado,hotel_compartido,valor_metrica
376,104,2083,0.6324555320336759
376,104,1260,0.6
376,104,2589,0.6
376,104,3806,0.848528137423857
376,1178,2083,0.916515138991168
376,1178,1260,0.7745966692414834
376,1178,2589,0.565685424949238
376,1178,3806,0.7745966692414834
376,1201,2083,1.0
376,1201,1260,1.0
376,1201,2589,0.8
376,1201,3806,1.0
376,1442,2083,0.2449489742783178
376,1442,1260,0.3464101615137754
376,1442,2589,0.282842712474619
376,1442,3806,0.4472135954999579
376,1914,2083,1.0
376,1914,1260,1.0
376,1914,2589,0.9797958971132712
376,1914,3806,1.0
376,1924,2083,0.0
376,1924,1260,0.1414213562373095
376,1924,2589,0.1414213562373095
376,1924,3806,0.1414213562373095
376,1961,2083,0.2
376,1961,1260,0.5477225575051661
376,1961,2589,0.4898979485566356
376,1961,3806,0.5477225575051661
376,210,2083,0.9797958971132712
376,210,1260,0.9797958971132712
376,210,2589,0.8366600265340756
376,210,3806,0.9797958971132712
376,214,2083,0.7483314773547883
376,214,1260,0.8366600265340756
376,214,2589,0.7071067811865475
376,214,3806,1.0
376,2344,2083,1.0
376,2344,1260,1.0
376,2344,2589,0.8944271909999159
376,2344,3806,1.0
376,24,2083,1.0
376,24,1260,1.0
376,24,2589,1.0
376,24,3806,1.0
376,2406,2083,0.4898979485566356
376,2406,1260,0.7745966692414834
376,2406,2589,0.7071067811865475
376,2406,3806,0.9797958971132712
376,2424,2083,0.4898979485566356
376,2424,1260,0.6324555320336759
376,2424,2589,0.565685424949238
376,2424,3806,0.6324555320336759
376,2617,2083,0.8366600265340756
376,2617,1260,0.916515138991168
376,2617,2589,0.7071067811865475
376,2617,3806,1.0
376,2618,2083,0.2449489742783178
376,2618,1260,0.4898979485566356
376,2618,2589,0.4242640687119285
376,2618,3806,0.6928203230275508
376,2877,2083,1.0
376,2877,1260,0.848528137423857
376,2877,2589,0.5477225575051661
376,2877,3806,1.0
376,3101,2083,0.6928203230275508
376,3101,1260,0.8366600265340756
376,3101,2589,0.8366600265340756
376,3101,3806,0.9797958971132712
376,3398,2083,1.0
376,3398,1260,0.6928203230275508
376,3398,2589,0.6928203230275508
376,3398,3806,1.0
376,3457,2083,0.4242640687119285
376,3457,1260,0.565685424949238
376,3457,2589,0.565685424949238
376,3457,3806,0.565685424949238
376,3480,2083,0.6633249580710799
376,3480,1260,0.648074069840786
376,3480,2589,0.5477225575051661
376,3480,3806,0.9797958971132712
376,3651,2083,0.4898979485566356
376,3651,1260,0.7745966692414834
376,3651,2589,0.7071067811865475
376,3651,3806,0.7745966692414834
376,3700,2083,0.4242640687119285
376,3700,1260,0.7071067811865475
376,3700,2589,0.7071067811865475
376,3700,3806,0.7745966692414834
376,3764,2083,1.0
376,3764,1260,0.9486832980505138
376,3764,2589,0.8366600265340756
376,3764,3806,1.0
376,3966,2083,0.4
376,3966,1260,0.848528137423857
376,3966,2589,0.848528137423857
376,3966,3806,0.6928203230275508
376,4073,2083,0.848528137423857
376,4073,1260,1.0
