usuario,hotel_recomendado,hotel_compartido,valor_metrica
276,1093,3165,8.8
276,1093,104,9.142857142857142
276,1093,3732,8.428571428571429
276,1093,904,10.0
276,1093,1164,10.0
276,1093,880,7.857142857142857
276,1093,3136,10.0
276,1093,45,9.25
276,1093,5746,10.0
276,1093,522,10.0
276,1093,774,10.0
276,1093,25,10.0
276,1093,5605,10.0
276,1093,1442,6.6
276,1093,2557,10.0
276,1093,4184,10.0
276,1093,3143,8.5
276,1093,4143,9.166666666666666
276,1093,4326,7.5
276,1093,4088,7.333333333333333
276,1093,566,10.0
276,1093,5111,10.0
276,1093,5360,7.0
276,1093,2085,10.0
276,1093,4749,5.5
276,1144,4783,10.0
276,1144,3143,8.0
276,1144,4427,10.0
276,1144,1298,10.0
276,1144,5360,6.0
276,1144,345,10.0
276,1144,2109,10.0
276,1144,5241,10.0
276,1144,4254,10.0
276,1144,566,10.0
276,1144,5176,10.0
276,1144,45,10.0
276,1144,1356,8.0
276,1144,2781,10.0
276,1144,1195,10.0
276,1144,5571,10.0
276,1144,522,10.0
276,1144,1164,10.0
276,1144,5111,7.25
276,1144,4673,10.0
276,1144,3620,10.0
276,1144,2085,10.0
276,1144,2557,10.0
276,1144,4088,8.0
276,1144,5201,10.0
276,1144,5341,10.0
276,1144,3732,10.0
276,1144,9,8.5
276,1144,880,6.75
276,1144,3705,10.0
276,1144,904,10.0
276,1144,4525,10.0
276,1144,686,10.0
276,1144,1542,10.0
276,1144,1840,8.0
276,1144,41,10.0
276,1144,725,10.0
276,1144,150,10.0
276,1144,1442,6.0
276,1144,25,10.0
276,1144,4749,10.0
276,1144,4314,10.0
276,1144,581,10.0
276,1144,4294,10.0
276,1144,4031,10.0
276,1144,104,7.0
276,1144,2417,10.0
276,1164,3732,10.0
276,1164,774,9.166666666666666
276,1164,25,9.285714285714286
276,1164,3165,10.0
276,1164,104,9.142857142857142
276,1164,4143,10.0
276,1164,3136,9.0
276,1164,2557,10.0
276,1164,522,10.0
276,1164,4184,10.0
276,1164,1442,6.714285714285714
276,1164,5605,10.0
276,1164,45,8.4
276,1164,4088,8.0
276,1164,3143,8.5
276,1164,2085,10.0
276,1164,5360,8.0
276,1164,904,8.333333333333334
276,1164,880,8.25
276,1164,5746,10.0
276,1164,1093,8.0
276,1164,686,10.0
276,1164,41,10.0
276,1164,4314,10.0
276,1164,4783,10.0
276,1164,725,10.0
276,1164,1195,10.0
276,1164,4673,10.0
276,1164,2417,10.0
276,1164,4749,10.0
