usuario,hotel_recomendado,hotel_compartido,valor_metrica
339,1144,4783,6.0
339,1144,3143,4.0
339,1144,4427,6.0
339,1144,1298,6.0
339,1144,5360,6.0
339,1144,4194,2.0
339,1144,2109,4.0
339,1144,5241,4.0
339,1144,4254,6.0
339,1144,566,4.0
339,1144,2612,2.0
339,1144,45,6.0
339,1144,1356,6.0
339,1144,2781,6.0
339,1144,1195,4.0
339,1144,5571,6.0
339,1144,522,6.0
339,1144,5111,6.0
339,1144,4673,6.0
339,1144,3117,2.0
339,1144,3620,4.0
339,1144,2085,4.0
339,1144,2557,4.0
339,1144,4088,6.0
339,1144,5201,6.0
339,1144,5341,4.0
339,1144,3732,6.0
339,1144,5035,2.0
339,1144,9,6.0
339,1144,880,6.0
339,1144,3705,6.0
339,1144,904,4.0
339,1144,4525,4.0
339,1144,686,4.0
339,1144,478,2.0
339,1144,1840,4.0
339,1144,2344,2.0
339,1144,725,2.0
339,1144,150,4.0
339,1144,1442,2.0
339,1144,180,2.0
339,1144,25,4.0
339,1144,4749,4.0
339,1144,4314,4.0
339,1144,581,2.0
339,1144,4294,2.0
339,1144,2417,2.0
339,1195,4783,4.0
339,1195,522,4.0
339,1195,2109,4.0
339,1195,2781,6.0
339,1195,725,4.0
339,1195,2417,2.0
339,1195,478,2.0
339,1195,5035,4.0
339,1195,4254,4.0
339,1195,3705,6.0
339,1195,686,6.0
339,1195,9,4.0
339,1195,1144,6.0
339,1195,904,6.0
339,1195,4749,6.0
339,1195,1442,4.0
339,1195,3620,6.0
339,1195,2344,4.0
339,1195,5571,6.0
339,1195,880,4.0
339,1195,150,6.0
339,1195,4427,4.0
339,1195,3732,4.0
339,1195,4673,6.0
339,1195,3165,4.0
339,1195,3143,6.0
339,1195,2085,4.0
339,1195,5111,6.0
339,1195,4314,6.0
339,1195,5360,6.0
339,1195,2191,2.0
339,1195,566,4.0
339,1195,1356,6.0
339,1195,5241,6.0
339,1195,558,2.0
339,1195,4088,6.0
339,1195,5201,4.0
339,1195,4194,4.0
339,1195,25,2.0
339,1195,1840,2.0
339,1195,2557,2.0
339,1195,1298,4.0
339,1195,180,4.0
339,1195,4525,2.0
339,1195,45,2.0
339,1195,3117,2.0
339,1195,1798,2.0
339,1298,3732,8.0
339,1298,522,8.0
339,1298,880,8.0
339,1298,3165,6.0
339,1298,45,8.0
339,1298,2344,6.0
339,1298,1144,4.0
339,1298,4673,6.0
339,1298,725,4.0
339,1298,566,6.0
339,1298,9,8.0
339,1298,1356,6.0
339,1298,5201,8.0
339,1298,5571,4.0
339,1298,2109,6.0
339,1298,686,6.0
339,1298,3705,4.0
339,1298,2085,6.0
339,1298,5035,6.0
339,1298,2781,6.0
339,1298,2417,4.0
339,1298,5111,6.0
339,1298,1442,8.0
339,1298,2612,6.0
339,1298,4254,4.0
339,1298,3143,6.0
339,1298,1195,6.0
339,1298,4088,6.0
339,1298,904,8.0
339,1298,4749,4.0
339,1298,5360,6.0
339,1298,3620,2.0
339,1298,2557,4.0
339,1298,4783,2.0
339,1298,4427,2.0
339,1298,1798,2.0
339,1356,2781,4.0
339,1356,3705,6.0
339,1356,725,4.0
339,1356,1442,6.0
339,1356,4673,4.0
339,1356,2417,6.0
339,1356,2344,6.0
339,1356,3620,4.0
339,1356,566,6.0
339,1356,2109,4.0
339,1356,3732,8.0
339,1356,1298,4.0
339,1356,3165,4.0
339,1356,2085,6.0
339,1356,4254,6.0
339,1356,1195,4.0
339,1356,5571,4.0
339,1356,5111,6.0
339,1356,4088,6.0
339,1356,686,4.0
339,1356,5201,6.0
339,1356,1144,6.0
339,1356,880,6.0
339,1356,522,4.0
339,1356,5360,6.0
339,1356,904,6.0
339,1356,9,4.0
339,1356,3143,8.0
339,1356,4525,4.0
339,1356,1798,2.0
339,1356,4314,4.0
339,1356,25,6.0
339,1356,2557,2.0
339,1356,5241,2.0
339,1356,2191,2.0
339,1356,4749,2.0
339,1356,180,2.0
339,1356,581,4.0
339,1356,5341,2.0
339,1356,4294,4.0
339,1356,4427,2.0
339,1356,4783,2.0
339,1356,45,2.0
339,1356,3117,2.0
339,1356,1840,2.0
339,1356,1396,4.0
339,1356,150,2.0
339,1396,725,4.0
339,1396,3705,6.0
339,1396,4749,6.0
339,1396,1298,4.0
339,1396,522,2.0
339,1396,3143,6.0
339,1396,9,4.0
339,1396,558,2.0
339,1396,4254,4.0
339,1396,566,6.0
339,1396,5360,6.0
339,1396,4314,4.0
339,1396,150,4.0
339,1396,2612,2.0
339,1396,5341,4.0
339,1396,2191,4.0
339,1396,1195,4.0
339,1396,1144,4.0
339,1396,3117,4.0
339,1396,4427,4.0
339,1396,2417,4.0
339,1396,3732,6.0
339,1396,5241,4.0
339,1396,686,6.0
339,1396,3165,2.0
339,1396,2109,4.0
339,1396,2085,4.0
339,1396,5111,4.0
339,1396,5201,4.0
339,1396,4088,4.0
339,1396,2781,6.0
339,1396,1356,4.0
339,1396,45,4.0
339,1396,2344,2.0
339,1396,1442,4.0
339,1396,180,4.0
339,1396,904,4.0
339,1396,5035,2.0
339,1396,4525,4.0
339,1396,1840,4.0
339,1396,4673,6.0
339,1396,880,4.0
339,1396,25,4.0
339,1396,5571,4.0
339,1396,3620,4.0
339,1396,4783,6.0
339,1396,581,4.0
339,1396,4294,2.0
339,1396,478,2.0
339,1442,25,6.0
339,1442,2557,12.0
339,1442,3165,8.0
339,1442,904,8.0
339,1442,2344,12.0
339,1442,3143,8.0
339,1442,3732,12.0
339,1442,5035,2.0
339,1442,522,10.0
339,1442,5241,4.0
339,1442,4254,6.0
339,1442,45,12.0
339,1442,880,8.0
339,1442,1195,2.0
339,1442,5201,4.0
339,1442,5360,4.0
339,1442,4194,2.0
339,1442,9,6.0
339,1442,5571,2.0
339,1442,5111,6.0
339,1442,2109,4.0
339,1442,1356,2.0
339,1442,2085,4.0
339,1442,1144,2.0
339,1442,566,4.0
339,1442,3620,2.0
339,1442,4427,2.0
339,1442,4314,2.0
339,1442,1840,4.0
339,1442,2781,4.0
339,1442,3705,4.0
339,1442,1298,4.0
339,1442,4673,4.0
339,1442,4088,4.0
339,1442,180,2.0
339,1442,150,2.0
339,1442,4525,2.0
339,1442,686,4.0
339,1442,4783,2.0
339,1442,4749,4.0
339,1442,2417,4.0
339,150,3732,6.0
339,150,566,4.0
339,150,45,4.0
339,150,4749,4.0
339,150,686,6.0
339,150,1442,6.0
339,150,5035,6.0
339,150,5360,6.0
339,150,522,4.0
339,150,3705,4.0
339,150,880,6.0
339,150,180,4.0
339,150,4783,4.0
339,150,4673,4.0
339,150,4525,6.0
339,150,2557,2.0
339,150,4194,4.0
339,150,4088,6.0
339,150,904,4.0
339,150,2109,4.0
339,150,3143,4.0
339,150,9,4.0
339,150,5571,6.0
339,150,1195,6.0
339,150,1298,4.0
339,150,2781,4.0
339,150,1840,6.0
339,150,4254,6.0
339,150,25,6.0
339,150,1144,6.0
339,150,5111,6.0
339,150,725,6.0
339,150,2085,4.0
339,150,5201,4.0
339,150,2417,4.0
339,150,3620,6.0
339,150,4314,4.0
339,150,1356,4.0
339,150,5241,4.0
