usuario,hotel_recomendado,hotel_compartido,valor_metrica
339,1144,4783,0.00906344410876133
339,1144,3143,0.006042296072507553
339,1144,4427,0.00906344410876133
339,1144,1298,0.00906344410876133
339,1144,5360,0.00906344410876133
339,1144,4194,0.0030211480362537764
339,1144,2109,0.006042296072507553
339,1144,5241,0.006042296072507553
339,1144,4254,0.00906344410876133
339,1144,566,0.006042296072507553
339,1144,2612,0.0030211480362537764
339,1144,45,0.00906344410876133
339,1144,1356,0.00906344410876133
339,1144,2781,0.00906344410876133
339,1144,1195,0.006042296072507553
339,1144,5571,0.00906344410876133
339,1144,522,0.00906344410876133
339,1144,5111,0.00906344410876133
339,1144,4673,0.00906344410876133
339,1144,3117,0.0030211480362537764
339,1144,3620,0.006042296072507553
339,1144,2085,0.006042296072507553
339,1144,2557,0.006042296072507553
339,1144,4088,0.00906344410876133
339,1144,5201,0.00906344410876133
339,1144,5341,0.006042296072507553
339,1144,3732,0.00906344410876133
339,1144,5035,0.0030211480362537764
339,1144,9,0.00906344410876133
339,1144,880,0.00906344410876133
339,1144,3705,0.00906344410876133
339,1144,904,0.006042296072507553
339,1144,4525,0.006042296072507553
339,1144,686,0.006042296072507553
339,1144,478,0.0030211480362537764
339,1144,1840,0.006042296072507553
339,1144,2344,0.0030211480362537764
339,1144,725,0.0030211480362537764
339,1144,150,0.006042296072507553
339,1144,1442,0.0030211480362537764
339,1144,180,0.0030211480362537764
339,1144,25,0.006042296072507553
339,1144,4749,0.006042296072507553
339,1144,4314,0.006042296072507553
339,1144,581,0.0030211480362537764
339,1144,4294,0.0030211480362537764
339,1144,2417,0.0030211480362537764
339,1195,4783,0.005291005291005291
339,1195,522,0.005291005291005291
339,1195,2109,0.005291005291005291
339,1195,2781,0.007936507936507936
339,1195,725,0.005291005291005291
339,1195,2417,0.0026455026455026454
339,1195,478,0.0026455026455026454
339,1195,5035,0.005291005291005291
339,1195,4254,0.005291005291005291
339,1195,3705,0.007936507936507936
339,1195,686,0.007936507936507936
339,1195,9,0.005291005291005291
339,1195,1144,0.007936507936507936
339,1195,904,0.007936507936507936
339,1195,4749,0.007936507936507936
339,1195,1442,0.005291005291005291
339,1195,3620,0.007936507936507936
339,1195,2344,0.005291005291005291
339,1195,5571,0.007936507936507936
339,1195,880,0.005291005291005291
339,1195,150,0.007936507936507936
339,1195,4427,0.005291005291005291
339,1195,3732,0.005291005291005291
339,1195,4673,0.007936507936507936
339,1195,3165,0.005291005291005291
339,1195,3143,0.007936507936507936
339,1195,2085,0.005291005291005291
339,1195,5111,0.007936507936507936
339,1195,4314,0.007936507936507936
339,1195,5360,0.007936507936507936
339,1195,2191,0.0026455026455026454
339,1195,566,0.005291005291005291
339,1195,1356,0.007936507936507936
339,1195,5241,0.007936507936507936
339,1195,558,0.0026455026455026454
339,1195,4088,0.007936507936507936
339,1195,5201,0.005291005291005291
339,1195,4194,0.005291005291005291
339,1195,25,0.0026455026455026454
339,1195,1840,0.0026455026455026454
339,1195,2557,0.0026455026455026454
339,1195,1298,0.005291005291005291
339,1195,180,0.005291005291005291
339,1195,4525,0.0026455026455026454
339,1195,45,0.0026455026455026454
339,1195,3117,0.0026455026455026454
339,1195,1798,0.0026455026455026454
339,1298,3732,0.0136986301369863
339,1298,522,0.0136986301369863
339,1298,880,0.0136986301369863
339,1298,3165,0.010273972602739725
339,1298,45,0.0136986301369863
339,1298,2344,0.010273972602739725
339,1298,1144,0.00684931506849315
339,1298,4673,0.010273972602739725
339,1298,725,0.00684931506849315
339,1298,566,0.010273972602739725
339,1298,9,0.0136986301369863
339,1298,1356,0.010273972602739725
339,1298,5201,0.0136986301369863
339,1298,5571,0.00684931506849315
339,1298,2109,0.010273972602739725
339,1298,686,0.010273972602739725
339,1298,3705,0.00684931506849315
339,1298,2085,0.010273972602739725
339,1298,5035,0.010273972602739725
339,1298,2781,0.010273972602739725
339,1298,2417,0.00684931506849315
339,1298,5111,0.010273972602739725
339,1298,1442,0.0136986301369863
339,1298,2612,0.010273972602739725
339,1298,4254,0.00684931506849315
339,1298,3143,0.010273972602739725
339,1298,1195,0.010273972602739725
339,1298,4088,0.010273972602739725
339,1298,904,0.0136986301369863
339,1298,4749,0.00684931506849315
339,1298,5360,0.010273972602739725
339,1298,3620,0.003424657534246575
339,1298,2557,0.00684931506849315
339,1298,4783,0.003424657534246575
339,1298,4427,0.003424657534246575
339,1298,1798,0.003424657534246575
339,1356,2781,0.0045045045045045045
339,1356,3705,0.006756756756756757
339,1356,725,0.0045045045045045045
339,1356,1442,0.006756756756756757
339,1356,4673,0.0045045045045045045
