usuario,hotel_recomendado,hotel_compartido,valor_metrica
376,104,473,4.0
376,104,880,5.0
376,104,45,6.0
376,104,4359,4.0
376,104,5176,2.0
376,104,522,5.0
376,104,904,4.0
376,104,774,6.0
376,104,2344,4.0
376,104,3398,5.0
376,104,1442,5.0
376,104,4088,3.0
376,104,3101,2.0
376,104,4073,2.0
376,104,3764,3.0
376,104,2617,3.0
376,104,4634,2.0
376,104,24,4.0
376,104,3806,3.0
376,104,5083,3.0
376,104,4184,3.0
376,104,798,2.0
376,104,214,1.0
376,104,1260,2.0
376,104,934,2.0
376,104,4604,1.0
376,104,1914,2.0
376,104,4845,1.0
376,104,2406,1.0
376,104,3457,1.0
376,104,2083,2.0
376,104,2424,1.0
376,104,1924,1.0
376,104,1178,1.0
376,104,3700,1.0
376,104,2877,1.0
376,104,5168,1.0
376,104,4567,1.0
376,1178,3398,2.0
376,1178,104,4.0
376,1178,798,1.0
376,1178,214,2.0
376,1178,774,4.0
376,1178,5169,2.0
376,1178,473,2.0
376,1178,24,4.0
376,1178,2083,2.0
376,1178,5176,2.0
376,1178,4184,4.0
376,1178,4845,2.0
376,1178,1260,1.0
376,1178,2617,3.0
376,1178,4359,3.0
376,1178,4567,2.0
376,1178,2344,6.0
376,1178,3806,2.0
376,1178,3764,3.0
376,1178,3101,2.0
376,1178,934,2.0
376,1178,880,5.0
376,1178,4634,2.0
376,1178,45,5.0
376,1178,1442,6.0
376,1178,5083,2.0
376,1178,4088,6.0
376,1178,4073,2.0
376,1178,522,7.0
376,1178,1914,1.0
376,1178,904,4.0
376,1178,5656,1.0
376,1178,5168,2.0
376,1178,3700,1.0
376,1178,2424,1.0
376,1201,4184,3.0
376,1201,45,3.0
376,1201,24,4.0
376,1201,2424,3.0
376,1201,522,4.0
376,1201,4088,3.0
376,1201,1260,3.0
376,1201,798,3.0
376,1201,214,2.0
376,1201,2083,3.0
376,1201,3764,4.0
376,1201,3398,3.0
376,1201,934,2.0
376,1201,3101,3.0
376,1201,880,4.0
376,1201,2344,3.0
376,1201,4634,4.0
376,1201,904,3.0
376,1201,5168,2.0
376,1201,3806,3.0
376,1201,104,3.0
376,1201,5083,3.0
376,1201,473,3.0
376,1201,1914,3.0
376,1201,4359,3.0
376,1201,774,3.0
376,1201,1442,4.0
376,1201,1178,3.0
376,1201,4073,4.0
376,1201,5176,3.0
376,1201,2617,3.0
376,1201,2589,1.0
376,1201,4845,1.0
376,1201,3700,1.0
376,1442,5169,3.0
376,1442,4567,3.0
376,1442,774,8.0
376,1442,904,6.0
376,1442,2344,7.0
376,1442,104,6.0
376,1442,4184,5.0
376,1442,5168,2.0
376,1442,522,7.0
376,1442,45,10.0
376,1442,4875,1.0
376,1442,880,5.0
376,1442,24,4.0
376,1442,4088,4.0
376,1442,4845,1.0
376,1442,4359,5.0
376,1442,4634,2.0
376,1442,3101,1.0
376,1442,5176,4.0
376,1442,4073,1.0
376,1442,3398,2.0
376,1442,473,4.0
376,1442,5083,2.0
376,1442,3806,2.0
376,1442,2406,1.0
376,1442,3966,1.0
376,1442,2424,1.0
